reliability_case_id,reviewer_order,search_rank,case_title,canonical_url,jurisdiction,reviewed,review_status,exclusion_reason,done_raw,annotation_notes,source_file,source_sha256,source_row_number,input_sha256
HRV1-009,9,825,"Case of Rantsev v. Cyprus and Russia, Application No. 25965/04",https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/_irb/2010/case_of_rantsev_v._cyprus_and_russia_application_no._2596504.html,International and Regional Bodies,1,SKIP,REVIEWER_SKIP,1,Skip,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,10,887fc46843d0d2517e32e53c80db5a4b043a6e85c2805ace62e49721b62228e2
HRV1-017,17,313,Case No. R-LLP-09-05622-CR,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2013/case_no._r-llp-09-05622-cr.html,Philippines,1,SKIP,REVIEWER_SKIP,1,Skip,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,18,53dc5e6b5261b842d2888c37177ef7ee4f6dc304fda9a749b6dd521ba2082303
HRV1-021,21,604,Shiva Ent Udyog v. National Human Rights Commission and Ors,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/ind/2011/shiva_ent_udyog_v._national_human_rights_commission_and_ors.html,India,1,SKIP,REVIEWER_SKIP,1,Skip,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,22,e42de76aa786a7a32b5f26915a09e91e575e444b32399bee9e601382aff48819
HRV1-025,25,627,"Ranya Boonmee, Kaew Kongmuang and Manus Boonmee",https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/tha/2010/ranya_boonmee_kaew_kongmuang_and_manus_boonmee.html,Thailand,1,SKIP,REVIEWER_SKIP,1,Skip,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,26,1086b7f6f69be8915bbcf3145962022d89b8ad8d914e2470a8c625bb5233917c
HRV1-027,27,999,CRIM. CASE NO. Q-05-135363,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2009/crim._case_no._q-05-135363.html,Philippines,1,SKIP,REVIEWER_SKIP,1,Skip,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,28,f4870bd93c445580ce04a2e2bbd9f983d768da3b65d6601813dd37cdb66e61ea
HRV1-028,28,474,ACR 200850010049016ES,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2011/acr_200850010049016es.html,Brazil,1,SKIP,REVIEWER_SKIP,1,Skip,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,29,09381a460ec548a973fc094c1a0ae50db19ace56b304540a7c4b152af1f4bcbb
HRV1-038,38,86,JUGEMENT N° 362/016,https://www.unodc.org/cld/case-law-doc/migrantsmugglingcrimetype/ner/2017/jugement_n_362016.html,Niger,1,SKIP,REVIEWER_SKIP,1,SKip,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,39,8ccd71b389f221375dd3e9ab34acf3a80f792845f3ad7f180fecbf54c71a3cbf
HRV1-043,43,618,Bachpan Bachao and Ors. v. Union of India (UOI) and Ors,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/ind/2010/bachpan_bachao_and_ors._v._union_of_india_uoi_and_ors.html,India,1,SKIP,REVIEWER_SKIP,1,SKIP,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,44,92b0fbdf05230871c07f142961edceac0f52d6fae62756f83fed07df7e90ee3d
HRV1-058,58,1406,Frudenthal vs. State of Israel,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/isr/2003/frudenthal_vs._state_of_israel_.html,Israel,1,SKIP,REVIEWER_SKIP,1,Skip,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,59,7560d1c88df764cb1cf1c8e9f056e14093e7d6d91061349d2127e0a607a04202
HRV1-059,59,107,Ibrahim and Basma Giulani v. The State of Israel,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/isr/2016/ibrahim_and_basma_giulani_v._the_state_of_israel.html,Israel,1,SKIP,REVIEWER_SKIP,1,Skip,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,60,928ac2dfb49067238b415e077c787ce42e00905706cebc5785a9128ff65ef169
