search_rank,case_title,url_path_crime_type,api_result_id,unodc_case_number,canonical_url,requested_url,final_url,final_url_relation,og_url,og_url_relation,http_status,content_type,content_encoding,download_timestamp,raw_filename,byte_count,sha256,download_status,attempts,redirect_count,redirect_chain,elapsed_seconds,pilot_selected,pilot_selection_reasons,last_action,last_checked_at,structural_markers,warnings,error,source_manifest_discovered_at
1,Criminal Case No. 1000711-61.2022.4.01.4200,traffickingpersonscrimetype,"2200,en,/case-law-doc/traffickingpersonscrimetype/bra/2024/criminal_case_no._1000711-61.2022.4.01.4200_.html",BRA016,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2024/criminal_case_no._1000711-61.2022.4.01.4200_.html,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2024/criminal_case_no._1000711-61.2022.4.01.4200_.html?lng=en&tmpl=sherloc,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2024/criminal_case_no._1000711-61.2022.4.01.4200_.html?lng=en&tmpl=sherloc,CANONICAL_EQUIVALENT,https://www.unodc.org/cld/en/case-law-doc/traffickingpersonscrimetype/bra/2024/criminal_case_no._1000711-61.2022.4.01.4200_.html,CANONICAL_EQUIVALENT,200,text/html;charset=utf-8,,2026-08-10T01:54:03Z,data/raw_html/000001_3b88fff50ec4.html,264023,b3b847de485e5fa5d9077b2e6e76805385cc499a8d1fe8ff0a1170098c36ea0b,HTTP_OK_VALID,1,0,[],2.900,true,primary_rank_band_1|temporal_anchor_latest_year,SKIPPED_VALID_EXISTING,2026-08-10T03:35:33Z,"{""seen_html"":true,""html_lang"":""en"",""page_locale_en"":true,""case_law_content"":true,""case_law_detail"":true,""db_header"":true,""case_title"":true,""fact_summary"":true,""trafficking_badge"":true,""og_url"":true,""doctype_count"":2}",DOCTYPE_COUNT_2,,2026-08-10T00:19:26Z
2,"Krachunova v. Bulgaria, no. 18269/18, 28 November 2023",traffickingpersonscrimetype,"2200,en,/case-law-doc/traffickingpersonscrimetype/_irb/2023/krachunova_v._bulgaria_no._1826918_28_november_2023.html",IRBx041,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/_irb/2023/krachunova_v._bulgaria_no._1826918_28_november_2023.html,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/_irb/2023/krachunova_v._bulgaria_no._1826918_28_november_2023.html?lng=en&tmpl=sherloc,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/_irb/2023/krachunova_v._bulgaria_no._1826918_28_november_2023.html?lng=en&tmpl=sherloc,CANONICAL_EQUIVALENT,https://www.unodc.org/cld/en/case-law-doc/traffickingpersonscrimetype/_irb/2023/krachunova_v._bulgaria_no._1826918_28_november_2023.html,CANONICAL_EQUIVALENT,200,text/html;charset=utf-8,,2026-08-10T02:01:24Z,data/raw_html/000002_b27877b79198.html,274930,45e694357e10d3ad8b83639b49bf3f656941aef28c8b385f0165140bf8ea5b2f,HTTP_OK_VALID,1,0,[],2.864,false,,SKIPPED_VALID_EXISTING,2026-08-10T03:35:33Z,"{""seen_html"":true,""html_lang"":""en"",""page_locale_en"":true,""case_law_content"":true,""case_law_detail"":true,""db_header"":true,""case_title"":true,""fact_summary"":true,""trafficking_badge"":true,""og_url"":true,""doctype_count"":2}",DOCTYPE_COUNT_2,,2026-08-10T00:19:26Z
3,Sent. n. sez. 1337,drugcrimetype,"2200,en,/case-law-doc/drugcrimetype/ita/2023/sent._n._sez._1337.html",ITAx041,https://www.unodc.org/cld/case-law-doc/drugcrimetype/ita/2023/sent._n._sez._1337.html,https://www.unodc.org/cld/case-law-doc/drugcrimetype/ita/2023/sent._n._sez._1337.html?lng=en&tmpl=sherloc,https://www.unodc.org/cld/case-law-doc/drugcrimetype/ita/2023/sent._n._sez._1337.html?lng=en&tmpl=sherloc,CANONICAL_EQUIVALENT,https://www.unodc.org/cld/en/case-law-doc/drugcrimetype/ita/2023/sent._n._sez._1337.html,CANONICAL_EQUIVALENT,200,text/html;charset=utf-8,,2026-08-10T01:54:06Z,data/raw_html/000003_0f1046970584.html,265860,cec8cb4f9c886ecbfafd966c75144486a9cf91d4a4b57a34ef005dbb23e6b881,HTTP_OK_VALID,1,0,[],3.513,true,cross_path_drugcrimetype,SKIPPED_VALID_EXISTING,2026-08-10T03:35:33Z,"{""seen_html"":true,""html_lang"":""en"",""page_locale_en"":true,""case_law_content"":true,""case_law_detail"":true,""db_header"":true,""case_title"":true,""fact_summary"":true,""trafficking_badge"":true,""og_url"":true,""doctype_count"":2}",DOCTYPE_COUNT_2,,2026-08-10T00:19:26Z
4,"G.G. and Deanna Rose v. Salesforce.com, INC.",criminalgroupcrimetype,"2200,en,/case-law-doc/criminalgroupcrimetype/usa/2023/g.g._and_deanna_rose_v._salesforce.com_inc..html",USAx282,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/usa/2023/g.g._and_deanna_rose_v._salesforce.com_inc..html,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/usa/2023/g.g._and_deanna_rose_v._salesforce.com_inc..html?lng=en&tmpl=sherloc,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/usa/2023/g.g._and_deanna_rose_v._salesforce.com_inc..html?lng=en&tmpl=sherloc,CANONICAL_EQUIVALENT,https://www.unodc.org/cld/en/case-law-doc/criminalgroupcrimetype/usa/2023/g.g._and_deanna_rose_v._salesforce.com_inc..html,CANONICAL_EQUIVALENT,200,text/html;charset=utf-8,,2026-08-10T01:54:09Z,data/raw_html/000004_1430daa797b3.html,260053,14c303b9bb47632886c0b6a6243e84966e8bb03796b8b537983d072a306cac53,HTTP_OK_VALID,1,0,[],2.611,true,cross_path_criminalgroupcrimetype,SKIPPED_VALID_EXISTING,2026-08-10T03:35:33Z,"{""seen_html"":true,""html_lang"":""en"",""page_locale_en"":true,""case_law_content"":true,""case_law_detail"":true,""db_header"":true,""case_title"":true,""fact_summary"":true,""trafficking_badge"":true,""og_url"":true,""doctype_count"":2}",DOCTYPE_COUNT_2,,2026-08-10T00:19:26Z
5,"Rex and Obinna Obeta, Ike and Beatrice Ekweremadu",traffickingpersonscrimetype,"2200,en,/case-law-doc/traffickingpersonscrimetype/gbr/2023/rex_and_obinna_obeta_ike_and_beatrice_ekweremadu_.html",GBRx119,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2023/rex_and_obinna_obeta_ike_and_beatrice_ekweremadu_.html,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2023/rex_and_obinna_obeta_ike_and_beatrice_ekweremadu_.html?lng=en&tmpl=sherloc,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2023/rex_and_obinna_obeta_ike_and_beatrice_ekweremadu_.html?lng=en&tmpl=sherloc,CANONICAL_EQUIVALENT,https://www.unodc.org/cld/en/case-law-doc/traffickingpersonscrimetype/gbr/2023/rex_and_obinna_obeta_ike_and_beatrice_ekweremadu_.html,CANONICAL_EQUIVALENT,200,text/html;charset=utf-8,,2026-08-10T02:01:28Z,data/raw_html/000005_82724d50780a.html,258674,f560f63a9f73c130fa5aaa751c27ea3d23495e9a234117a4825c0c8880398f6e,HTTP_OK_VALID,1,0,[],3.446,false,,SKIPPED_VALID_EXISTING,2026-08-10T03:35:33Z,"{""seen_html"":true,""html_lang"":""en"",""page_locale_en"":true,""case_law_content"":true,""case_law_detail"":true,""db_header"":true,""case_title"":true,""fact_summary"":true,""trafficking_badge"":true,""og_url"":true,""doctype_count"":2}",DOCTYPE_COUNT_2,,2026-08-10T00:19:26Z
6,"Lenida T. Maestrado, petitioner, vs. People of the Philippines, respondent",traffickingpersonscrimetype,"2200,en,/case-law-doc/traffickingpersonscrimetype/phl/2022/lenida_t._maestrado_petitioner_vs._people_of_the_philippines_respondent.html",x016,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2022/lenida_t._maestrado_petitioner_vs._people_of_the_philippines_respondent.html,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2022/lenida_t._maestrado_petitioner_vs._people_of_the_philippines_respondent.html?lng=en&tmpl=sherloc,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2022/lenida_t._maestrado_petitioner_vs._people_of_the_philippines_respondent.html?lng=en&tmpl=sherloc,CANONICAL_EQUIVALENT,https://www.unodc.org/cld/en/case-law-doc/traffickingpersonscrimetype/phl/2022/lenida_t._maestrado_petitioner_vs._people_of_the_philippines_respondent.html,CANONICAL_EQUIVALENT,200,text/html;charset=utf-8,,2026-08-10T02:01:31Z,data/raw_html/000006_baedc2c9824d.html,262898,e3ce112bc8537df9b01bc6cbd5565eb10618a2ca6ad6fbafd2bd4456002d8d95,HTTP_OK_VALID,1,0,[],3.671,false,,SKIPPED_VALID_EXISTING,2026-08-10T03:35:33Z,"{""seen_html"":true,""html_lang"":""en"",""page_locale_en"":true,""case_law_content"":true,""case_law_detail"":true,""db_header"":true,""case_title"":true,""fact_summary"":true,""trafficking_badge"":true,""og_url"":true,""doctype_count"":2}",DOCTYPE_COUNT_2,,2026-08-10T00:19:26Z
7,Basfar v Wong 2022 UKSC 20,traffickingpersonscrimetype,"2200,en,/case-law-doc/traffickingpersonscrimetype/gbr/2022/basfar_v_wong_2022_uksc_20.html",GBRx113,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2022/basfar_v_wong_2022_uksc_20.html,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2022/basfar_v_wong_2022_uksc_20.html?lng=en&tmpl=sherloc,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2022/basfar_v_wong_2022_uksc_20.html?lng=en&tmpl=sherloc,CANONICAL_EQUIVALENT,https://www.unodc.org/cld/en/case-law-doc/traffickingpersonscrimetype/gbr/2022/basfar_v_wong_2022_uksc_20.html,CANONICAL_EQUIVALENT,200,text/html;charset=utf-8,,2026-08-10T02:01:35Z,data/raw_html/000007_71b393233240.html,253573,6976f8e9c3ffae4fa9f026b82b75aa632922c1fc5ec7bb99de7159bd10eb42fb,HTTP_OK_VALID,1,0,[],3.459,false,,SKIPPED_VALID_EXISTING,2026-08-10T03:35:33Z,"{""seen_html"":true,""html_lang"":""en"",""page_locale_en"":true,""case_law_content"":true,""case_law_detail"":true,""db_header"":true,""case_title"":true,""fact_summary"":true,""trafficking_badge"":true,""og_url"":true,""doctype_count"":2}",DOCTYPE_COUNT_2,,2026-08-10T00:19:26Z
8,"Public Prosecutor V Sekdah Somon, Buxoo bibi, Anowar Hossain & Palas Hosan",traffickingpersonscrimetype,"2200,en,/case-law-doc/traffickingpersonscrimetype/vut/2022/public_prosecutor_v_sekdah_somon_buxoo_bibi_anowar_hossain_palas_hosan.html",VUTx002,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/vut/2022/public_prosecutor_v_sekdah_somon_buxoo_bibi_anowar_hossain_palas_hosan.html,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/vut/2022/public_prosecutor_v_sekdah_somon_buxoo_bibi_anowar_hossain_palas_hosan.html?lng=en&tmpl=sherloc,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/vut/2022/public_prosecutor_v_sekdah_somon_buxoo_bibi_anowar_hossain_palas_hosan.html?lng=en&tmpl=sherloc,CANONICAL_EQUIVALENT,https://www.unodc.org/cld/en/case-law-doc/traffickingpersonscrimetype/vut/2022/public_prosecutor_v_sekdah_somon_buxoo_bibi_anowar_hossain_palas_hosan.html,CANONICAL_EQUIVALENT,200,text/html;charset=utf-8,,2026-08-10T02:01:38Z,data/raw_html/000008_cc3d5ac521cc.html,258765,6e90453eb22823da9a130f760fe26e2415a7380f5e727ea8108ed6e06a7d84cb,HTTP_OK_VALID,1,0,[],3.504,false,,SKIPPED_VALID_EXISTING,2026-08-10T03:35:33Z,"{""seen_html"":true,""html_lang"":""en"",""page_locale_en"":true,""case_law_content"":true,""case_law_detail"":true,""db_header"":true,""case_title"":true,""fact_summary"":true,""trafficking_badge"":true,""og_url"":true,""doctype_count"":2}",DOCTYPE_COUNT_2,,2026-08-10T00:19:26Z
9,(2022) EWCA Crim 106,traffickingpersonscrimetype,"2200,en,/case-law-doc/traffickingpersonscrimetype/gbr/2022/2022_ewca_crim_106.html",GBRx112,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2022/2022_ewca_crim_106.html,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2022/2022_ewca_crim_106.html?lng=en&tmpl=sherloc,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2022/2022_ewca_crim_106.html?lng=en&tmpl=sherloc,CANONICAL_EQUIVALENT,https://www.unodc.org/cld/en/case-law-doc/traffickingpersonscrimetype/gbr/2022/2022_ewca_crim_106.html,CANONICAL_EQUIVALENT,200,text/html;charset=utf-8,,2026-08-10T02:01:41Z,data/raw_html/000009_6105c4fad955.html,276313,8c804d5c41318f84a88141f0810d6e880c87166e5d371869ec4d93d066a36f28,HTTP_OK_VALID,1,0,[],2.765,false,,SKIPPED_VALID_EXISTING,2026-08-10T03:35:33Z,"{""seen_html"":true,""html_lang"":""en"",""page_locale_en"":true,""case_law_content"":true,""case_law_detail"":true,""db_header"":true,""case_title"":true,""fact_summary"":true,""trafficking_badge"":true,""og_url"":true,""doctype_count"":2}",DOCTYPE_COUNT_2,,2026-08-10T00:19:26Z
10,"United States of America v. Maxwell, No. 1:22-cr-00330-AJN (S.D.N.Y. Dec. 29, 2021)",criminalgroupcrimetype,"2200,en,/case-law-doc/criminalgroupcrimetype/usa/2021/united_states_of_america_v._maxwell_no._122-cr-00330-ajn_s.d.n.y._dec._29_2021.html",USAx226,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/usa/2021/united_states_of_america_v._maxwell_no._122-cr-00330-ajn_s.d.n.y._dec._29_2021.html,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/usa/2021/united_states_of_america_v._maxwell_no._122-cr-00330-ajn_s.d.n.y._dec._29_2021.html?lng=en&tmpl=sherloc,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/usa/2021/united_states_of_america_v._maxwell_no._122-cr-00330-ajn_s.d.n.y._dec._29_2021.html?lng=en&tmpl=sherloc,CANONICAL_EQUIVALENT,https://www.unodc.org/cld/en/case-law-doc/criminalgroupcrimetype/usa/2021/united_states_of_america_v._maxwell_no._122-cr-00330-ajn_s.d.n.y._dec._29_2021.html,CANONICAL_EQUIVALENT,200,text/html;charset=utf-8,,2026-08-10T02:01:44Z,data/raw_html/000010_9a45a9166576.html,266664,b22221c31149ebe78332685ebc0cf0b9bf11410a9f034fe9c1859c4a0d77f1c5,HTTP_OK_VALID,1,0,[],2.604,false,,SKIPPED_VALID_EXISTING,2026-08-10T03:35:33Z,"{""seen_html"":true,""html_lang"":""en"",""page_locale_en"":true,""case_law_content"":true,""case_law_detail"":true,""db_header"":true,""case_title"":true,""fact_summary"":true,""trafficking_badge"":true,""og_url"":true,""doctype_count"":2}",DOCTYPE_COUNT_2,,2026-08-10T00:19:26Z
