jurisdiction,fold,n,method,supported_label_count_for_macro_f1,macro_f1,micro_f1,example_jaccard,act_cpmr,means_cpmr,purpose_cpmr,status,reference_terminology
Argentina,1,75,M1,16,0.5051660007697062,0.746044962531224,0.5952323232323232,0.18666666666666668,0.09333333333333334,0.7333333333333333,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Argentina,1,75,M2,16,0.5333713453889928,0.7243816254416962,0.5665796055796055,0.24,0.13333333333333333,0.8266666666666667,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Argentina,1,75,M3,16,0.547770494886032,0.7762863534675615,0.632971398971399,0.5866666666666667,0.56,0.8266666666666667,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Argentina,1,75,M4,16,0.5341492727921293,0.7670915411355735,0.6268066378066377,0.64,0.5866666666666667,0.8666666666666667,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Australia,1,20,M1,16,0.5768636831936065,0.7736842105263158,0.636096681096681,0.4,0.5,0.25,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Australia,1,20,M2,16,0.5557177928991877,0.7908309455587392,0.6572777222777223,0.5,0.65,0.75,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Australia,1,20,M3,16,0.6090251592089827,0.7288629737609329,0.540868437118437,0.55,0.45,0.35,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Australia,1,20,M4,16,0.6063764333881796,0.7272727272727273,0.5350040237540237,0.6,0.4,0.55,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Belgium,2,24,M1,16,0.4154714419803933,0.6685393258426966,0.5112268518518518,0.125,0.125,0.5,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Belgium,2,24,M2,16,0.4532036277988161,0.6472303206997084,0.48163930976430974,0.125,0.125,0.5416666666666666,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Belgium,2,24,M3,16,0.5727127498726764,0.728,0.5751908970658971,0.75,0.5,0.625,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Belgium,2,24,M4,16,0.5662362066412073,0.7257383966244726,0.561038961038961,0.7083333333333334,0.5833333333333334,0.6666666666666666,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Brazil,2,103,M1,16,0.4271495652720025,0.6800832755031229,0.5152572885582595,0.0970873786407767,0.0,0.9805825242718447,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Brazil,2,103,M2,16,0.41466500951213126,0.669889502762431,0.5060702512158822,0.0970873786407767,0.038834951456310676,0.9223300970873787,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Brazil,2,103,M3,16,0.42315765948141676,0.6548488008342023,0.48116147606438864,0.47572815533980584,0.17475728155339806,0.8640776699029126,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Brazil,2,103,M4,16,0.42494424030236455,0.6437291897891232,0.4631243082699394,0.5242718446601942,0.20388349514563106,0.8446601941747572,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Canada,3,22,M1,16,0.4412479678927047,0.7174603174603175,0.5590335169880624,0.045454545454545456,0.2727272727272727,0.9090909090909091,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Canada,3,22,M2,16,0.39400257277532064,0.6750788643533123,0.5206201626656172,0.13636363636363635,0.18181818181818182,0.9090909090909091,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
