evaluation,method,family,supported_label_count,macro_precision_family,macro_recall_family,macro_f1_family,zero_support_labels_excluded,status,reference_terminology
A1,M1,Act,5,0.5571398185115553,0.9579467436940142,0.6945330704988812,0,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A1,M1,Means,6,0.42202176785280804,0.6330991412958625,0.48555696586784675,0,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A1,M1,Purpose,6,0.25049407114624506,0.27,0.25791442599953235,0,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A1,M2,Act,5,0.5758304577869795,0.8753594547034697,0.6908809690213771,0,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A1,M2,Means,6,0.404723609198041,0.6550035305005856,0.49475619148250033,0,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A1,M2,Purpose,6,0.4152754348854437,0.498972545606209,0.44425438560344316,0,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A1,M3,Act,5,0.6635917545622794,0.6655245252542973,0.6578018491370543,0,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A1,M3,Means,6,0.6186931364162348,0.5396376235086517,0.5498571898535903,0,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A1,M3,Purpose,6,0.558144602816734,0.6183984332499184,0.5833340392128074,0,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A1,M4,Act,5,0.682044817927171,0.6126983591608224,0.6355665289654769,0,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A1,M4,Means,6,0.6515551516732919,0.5165221418738318,0.5506818652579701,0,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A1,M4,Purpose,6,0.6096497849394016,0.6491292206143692,0.6245466991844101,0,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A2,M1,Act,5,0.536003211008601,0.9555789321408131,0.6710374374566488,0,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A2,M1,Means,6,0.40897023868084603,0.5766697888296699,0.4512765611221105,0,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A2,M1,Purpose,5,0.3854592672312947,0.33424153742625073,0.3229341932267228,1,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A2,M2,Act,5,0.5485571894411244,0.8838663717401959,0.6675113479133339,0,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A2,M2,Means,6,0.3989822057230032,0.55876083762093,0.4618757496281611,0,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A2,M2,Purpose,5,0.493979978502851,0.45795944033205177,0.4661980295660964,1,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A2,M3,Act,5,0.6876916787823558,0.6501865473742924,0.658565741531693,0,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A2,M3,Means,6,0.6313187664465129,0.5164000355394996,0.5467896455687741,0,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A2,M3,Purpose,5,0.4752443326900961,0.5797762397603161,0.5165102701686595,1,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A2,M4,Act,5,0.7067931626786098,0.5926737853459295,0.6323489364265604,0,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A2,M4,Means,6,0.641515698144084,0.49805741031302514,0.5389025779192779,0,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
A2,M4,Purpose,5,0.5217303464688993,0.5675383330638109,0.5388682078351679,1,DESCRIPTIVE_FROM_CANONICAL_PER_LABEL_METRICS,SHERLOC Legacy Keywords silver reference
