target,class,n,support,tp,fp,fn,tn,precision,recall,f1
GEOGRAPHIC_FORM,Internal,55,21,15,12,6,22,0.555555555556,0.714285714286,0.625000000000
GEOGRAPHIC_FORM,Transnational,55,35,32,4,3,16,0.888888888889,0.914285714286,0.901408450704
VICTIM_MULTIPLICITY,SINGLE,55,14,14,3,0,38,0.823529411765,1.000000000000,0.903225806452
VICTIM_MULTIPLICITY,MULTIPLE,55,39,37,1,2,15,0.973684210526,0.948717948718,0.961038961039
VICTIM_MULTIPLICITY,UNKNOWN,55,2,0,0,2,53,0.000000000000,0.000000000000,0.000000000000
CHILD_INVOLVEMENT,TRUE,55,22,21,2,1,31,0.913043478261,0.954545454545,0.933333333333
CHILD_INVOLVEMENT,FALSE,55,4,3,0,1,51,1.000000000000,0.750000000000,0.857142857143
CHILD_INVOLVEMENT,UNKNOWN,55,29,27,2,2,24,0.931034482759,0.931034482759,0.931034482759
ORGANIZED_CRIMINAL_GROUP,TRUE,55,6,6,9,0,40,0.400000000000,1.000000000000,0.571428571429
ORGANIZED_CRIMINAL_GROUP,FALSE,55,49,40,0,9,6,1.000000000000,0.816326530612,0.898876404494
