reliability_case_id,reviewer_order,search_rank,canonical_url,jurisdiction,input_sha256,reviewed,review_status,retained,substantive_amp_evaluable,abstain_subset,excluded,exclusion_reason,source_row_number,source_sha256
HRV1-001,1,237,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2013/docket_number_-_211cr193_2013.html,United States of America,ca3811126a985dfe86410ac69c1a6e25308abb858319023d9b5b83d6c9c5bef3,1,SUBSTANTIVE,1,1,0,0,,2,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-002,2,545,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/per/2011/exp._n._01024-2011-phctc.html,Peru,3c2b42f7c4dcf5b9692ec4891dea9be6ca0331936d648eab2e33ce1e23af5e5d,1,ABSTAIN,1,0,1,0,,3,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-003,3,23,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2020/the_queen_on_the_application_of_l_v._the_director_of_public_prosecutions.html,United Kingdom of Great Britain and Northern Ireland,b256b5e58112891a1eff77586a7755b37aa8863311fac995bee373f063e1fbca,1,SUBSTANTIVE,1,1,0,0,,4,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-004,4,202,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/pol/2014/nikolae_l_2014.html,Poland,9782dd1f249fce6b2b9893b282c1ba59ffa0dcabed677814c9ab46ce3a2a14ea,1,SUBSTANTIVE,1,1,0,0,,5,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-005,5,38,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nam/2019/s_v._jonas_cc142017.html,Namibia,5fa88c3e5c764be660b5d93b016fc2bba2ab34c4b115bb2ad4f3348b07ff0ff7,1,SUBSTANTIVE,1,1,0,0,,6,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-006,6,68,https://www.unodc.org/cld/case-law-doc/moneylaunderingcrimetype/lux/2018/jugt_n_5342018_.html,Luxembourg,50283e6d11fb78de730ba0c38fa959759f3027efcb83dfcb7be0344c7b7c15d6,1,SUBSTANTIVE,1,1,0,0,,7,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-007,7,54,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/syc/2018/s_v._alam_co_672016_2018_scsc_946_.html,Seychelles,50e612f47861aba79545e934260befcb411669d705d987693b38748a76417bbf,1,SUBSTANTIVE,1,1,0,0,,8,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-008,8,58,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/cri/2018/13-000227-1219-pe.html,Costa Rica,a6b61bbb7b21d6fbe0b6434555a1053ed8ca8c87c140cb973b07d4f26c6b4729,1,SUBSTANTIVE,1,1,0,0,,9,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-009,9,825,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/_irb/2010/case_of_rantsev_v._cyprus_and_russia_application_no._2596504.html,International and Regional Bodies,887fc46843d0d2517e32e53c80db5a4b043a6e85c2805ace62e49721b62228e2,1,SKIP,0,0,0,1,REVIEWER_SKIP,10,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-010,10,1238,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/svk/2007/2_to_3792006_.html,Slovakia,f6470886c4f4eba9882b044f1297335feb29a76799133b672149d41a13d1ef94,1,SUBSTANTIVE,1,1,0,0,,11,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-011,11,1396,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/chn/2004/kwok_ho.html,China,64db1dd6b3886fa3518e3d9bd2bca787ba9e1ee18ff1d7fecf546ba23c023909,1,SUBSTANTIVE,1,1,0,0,,12,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-012,12,917,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/bra/2009/processo_n_2009.03.00.014160-5.html,Brazil,c31a56843a7c9927c3a88e85fc3d0ff67f1bda84251bf4f60bf249402817b390,1,SUBSTANTIVE,1,1,0,0,,13,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
