method,metric_scope,metric,n,human_primary_n,dual_reference_n,excluded_incomplete_silver_reference_n,human_grounded_value,silver_reference_value,delta_human_minus_silver,human_supported_label_count,silver_supported_label_count,significance_claim,human_grounded_dense_rank,silver_reference_dense_rank,rank_changed
M1,OVERALL,macro_f1,54,55,54,1,0.4599029200659706,0.43759027834718583,0.022312641718784776,17,17,NOT_TESTED_DO_NOT_INFER,4,4,0
M1,OVERALL,micro_f1,54,55,54,1,0.7378410438908659,0.6943765281173594,0.04346451577350652,17,17,NOT_TESTED_DO_NOT_INFER,4,4,0
M1,OVERALL,exact_set,54,55,54,1,0.0,0.0,0.0,17,17,NOT_TESTED_DO_NOT_INFER,3,2,1
M1,OVERALL,jaccard,54,55,54,1,0.5872240927796484,0.5334455667789001,0.053778526000748283,17,17,NOT_TESTED_DO_NOT_INFER,4,4,0
M1,ACT,cpmr,54,55,54,1,0.07407407407407407,0.09259259259259259,-0.018518518518518517,17,17,NOT_TESTED_DO_NOT_INFER,4,4,0
M1,ACT,macro_precision_family,54,55,54,1,0.6093605445641195,0.5341126360490809,0.0752479085150386,17,17,NOT_TESTED_DO_NOT_INFER,4,4,0
M1,ACT,macro_recall_family,54,55,54,1,0.9636363636363636,0.975,-0.011363636363636354,17,17,NOT_TESTED_DO_NOT_INFER,1,1,0
M1,MEANS,cpmr,54,55,54,1,0.24074074074074073,0.16666666666666666,0.07407407407407407,17,17,NOT_TESTED_DO_NOT_INFER,4,3,1
M1,MEANS,macro_precision_family,54,55,54,1,0.35294117647058826,0.3293391430646333,0.02360203340595496,17,17,NOT_TESTED_DO_NOT_INFER,4,4,0
M1,MEANS,macro_recall_family,54,55,54,1,0.5555555555555555,0.5740740740740741,-0.0185185185185186,17,17,NOT_TESTED_DO_NOT_INFER,3,3,0
M1,PURPOSE,cpmr,54,55,54,1,0.6851851851851852,0.6851851851851852,0.0,17,17,NOT_TESTED_DO_NOT_INFER,4,4,0
M1,PURPOSE,macro_precision_family,54,55,54,1,0.25925925925925924,0.25925925925925924,0.0,17,17,NOT_TESTED_DO_NOT_INFER,4,4,0
M1,PURPOSE,macro_recall_family,54,55,54,1,0.3055555555555556,0.2708333333333333,0.034722222222222265,17,17,NOT_TESTED_DO_NOT_INFER,4,4,0
M2,OVERALL,macro_f1,54,55,54,1,0.6447560852136991,0.5919271324926028,0.052828952721096334,17,17,NOT_TESTED_DO_NOT_INFER,2,1,1
M2,OVERALL,micro_f1,54,55,54,1,0.7487437185929648,0.7133592736705577,0.03538444492240711,17,17,NOT_TESTED_DO_NOT_INFER,3,2,1
M2,OVERALL,exact_set,54,55,54,1,0.0,0.018518518518518517,-0.018518518518518517,17,17,NOT_TESTED_DO_NOT_INFER,3,1,1
M2,OVERALL,jaccard,54,55,54,1,0.602429155206933,0.5608057580279803,0.04162339717895269,17,17,NOT_TESTED_DO_NOT_INFER,3,2,1
M2,ACT,cpmr,54,55,54,1,0.2037037037037037,0.24074074074074073,-0.037037037037037035,17,17,NOT_TESTED_DO_NOT_INFER,3,3,0
M2,ACT,macro_precision_family,54,55,54,1,0.6517924776891143,0.5928515673552589,0.0589409103338554,17,17,NOT_TESTED_DO_NOT_INFER,3,3,0
M2,ACT,macro_recall_family,54,55,54,1,0.8391608391608394,0.8805178268251274,-0.04135698766428797,17,17,NOT_TESTED_DO_NOT_INFER,2,2,0
M2,MEANS,cpmr,54,55,54,1,0.2777777777777778,0.2777777777777778,0.0,17,17,NOT_TESTED_DO_NOT_INFER,3,2,1
M2,MEANS,macro_precision_family,54,55,54,1,0.478718373314238,0.4407104069698055,0.03800796634443249,17,17,NOT_TESTED_DO_NOT_INFER,3,3,0
M2,MEANS,macro_recall_family,54,55,54,1,0.605096073517126,0.6087809004284978,-0.0036848269113717302,17,17,NOT_TESTED_DO_NOT_INFER,1,2,1
M2,PURPOSE,cpmr,54,55,54,1,0.7222222222222222,0.7222222222222222,0.0,17,17,NOT_TESTED_DO_NOT_INFER,3,3,0
M2,PURPOSE,macro_precision_family,54,55,54,1,0.718121693121693,0.620899470899471,0.0972222222222221,17,17,NOT_TESTED_DO_NOT_INFER,1,1,0
M2,PURPOSE,macro_recall_family,54,55,54,1,0.7735042735042734,0.5943376068376068,0.17916666666666659,17,17,NOT_TESTED_DO_NOT_INFER,1,1,0
M3,OVERALL,macro_f1,54,55,54,1,0.6504730747061601,0.5680837418077533,0.08238933289840678,17,17,NOT_TESTED_DO_NOT_INFER,1,2,1
M3,OVERALL,micro_f1,54,55,54,1,0.7747747747747747,0.7145085803432137,0.060266194431561004,17,17,NOT_TESTED_DO_NOT_INFER,1,1,0
M3,OVERALL,exact_set,54,55,54,1,0.05555555555555555,0.0,0.05555555555555555,17,17,NOT_TESTED_DO_NOT_INFER,1,2,1
M3,OVERALL,jaccard,54,55,54,1,0.633000538556094,0.5632746368857481,0.06972590167034587,17,17,NOT_TESTED_DO_NOT_INFER,1,1,0
M3,ACT,cpmr,54,55,54,1,0.5555555555555556,0.42592592592592593,0.12962962962962965,17,17,NOT_TESTED_DO_NOT_INFER,2,2,0
M3,ACT,macro_precision_family,54,55,54,1,0.738526331209258,0.5961502966381015,0.14237603457115655,17,17,NOT_TESTED_DO_NOT_INFER,2,2,0
M3,ACT,macro_recall_family,54,55,54,1,0.6472712365154226,0.6009913897647344,0.04627984675068819,17,17,NOT_TESTED_DO_NOT_INFER,3,3,0
M3,MEANS,cpmr,54,55,54,1,0.5370370370370371,0.4444444444444444,0.09259259259259267,17,17,NOT_TESTED_DO_NOT_INFER,2,1,1
M3,MEANS,macro_precision_family,54,55,54,1,0.6174284357617691,0.6423829873829874,-0.02495455162121829,17,17,NOT_TESTED_DO_NOT_INFER,1,1,0
M3,MEANS,macro_recall_family,54,55,54,1,0.5975981620718462,0.6144759681372954,-0.016877806065449197,17,17,NOT_TESTED_DO_NOT_INFER,2,1,1
M3,PURPOSE,cpmr,54,55,54,1,0.7962962962962963,0.7407407407407407,0.05555555555555558,17,17,NOT_TESTED_DO_NOT_INFER,2,2,0
M3,PURPOSE,macro_precision_family,54,55,54,1,0.668452380952381,0.5434523809523809,0.1250000000000001,17,17,NOT_TESTED_DO_NOT_INFER,2,3,1
M3,PURPOSE,macro_recall_family,54,55,54,1,0.736111111111111,0.5145833333333333,0.22152777777777777,17,17,NOT_TESTED_DO_NOT_INFER,2,2,0
M4,OVERALL,macro_f1,54,55,54,1,0.6138913717661777,0.5339205801175279,0.07997079164864984,17,17,NOT_TESTED_DO_NOT_INFER,3,3,0
M4,OVERALL,micro_f1,54,55,54,1,0.7653543307086614,0.7016393442622951,0.0637149864463663,17,17,NOT_TESTED_DO_NOT_INFER,2,3,1
M4,OVERALL,exact_set,54,55,54,1,0.018518518518518517,0.0,0.018518518518518517,17,17,NOT_TESTED_DO_NOT_INFER,2,2,0
M4,OVERALL,jaccard,54,55,54,1,0.6146391160280049,0.54229063117952,0.07234848484848488,17,17,NOT_TESTED_DO_NOT_INFER,2,3,1
M4,ACT,cpmr,54,55,54,1,0.5925925925925926,0.46296296296296297,0.1296296296296296,17,17,NOT_TESTED_DO_NOT_INFER,1,1,0
M4,ACT,macro_precision_family,54,55,54,1,0.7609337068160598,0.6146778711484593,0.14625583566760048,17,17,NOT_TESTED_DO_NOT_INFER,1,1,0
M4,ACT,macro_recall_family,54,55,54,1,0.5816677508537973,0.5473007114560595,0.034367039397737775,17,17,NOT_TESTED_DO_NOT_INFER,4,4,0
M4,MEANS,cpmr,54,55,54,1,0.5740740740740741,0.4444444444444444,0.12962962962962965,17,17,NOT_TESTED_DO_NOT_INFER,1,1,0
M4,MEANS,macro_precision_family,54,55,54,1,0.6143399810066477,0.5424026590693257,0.07193732193732194,17,17,NOT_TESTED_DO_NOT_INFER,2,2,0
M4,MEANS,macro_recall_family,54,55,54,1,0.5301169590643274,0.506429611578353,0.023687347485974453,17,17,NOT_TESTED_DO_NOT_INFER,4,4,0
M4,PURPOSE,cpmr,54,55,54,1,0.8518518518518519,0.8148148148148148,0.03703703703703709,17,17,NOT_TESTED_DO_NOT_INFER,1,1,0
