family,label_id,raw_label,n,substantive_n,comparable_n,silver_reference_unavailable_n,silver_support,human_support,shared,agreement,silver_only,human_only,raw_agreement
ACT,ACT_RECRUITMENT,Recruitment,54,55,54,1,42,43,37,43,5,6,0.7962962962962963
ACT,ACT_TRANSPORTATION,Transportation,54,55,54,1,31,32,27,45,4,5,0.8333333333333334
ACT,ACT_TRANSFER,Transfer,54,55,54,1,19,11,9,42,10,2,0.7777777777777778
ACT,ACT_HARBOURING,Harbouring,54,55,54,1,31,39,31,46,0,8,0.8518518518518519
ACT,ACT_RECEIPT,Receipt,54,55,54,1,16,33,16,37,0,17,0.6851851851851852
MEANS,MEANS_THREAT_FORCE_OR_COERCION,Threat or use of force or other forms of coercion,54,55,54,1,33,38,32,47,1,6,0.8703703703703703
MEANS,MEANS_ABDUCTION,Abduction,54,55,54,1,5,5,5,54,0,0,1.0
MEANS,MEANS_FRAUD,Fraud,54,55,54,1,9,6,6,51,3,0,0.9444444444444444
MEANS,MEANS_DECEPTION,Deception,54,55,54,1,23,28,22,47,1,6,0.8703703703703703
MEANS,MEANS_ABUSE_OF_POWER_OR_VULNERABILITY,Abuse of power or a position of vulnerability,54,55,54,1,38,42,37,48,1,5,0.8888888888888888
MEANS,MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL,Giving or receiving payments or benefits to achieve the consent of a person having control over another person,54,55,54,1,7,6,6,53,1,0,0.9814814814814815
PURPOSE,PURPOSE_SEXUAL_EXPLOITATION,Exploitation of the prostitution of others or other forms of sexual exploitation,55,55,55,0,39,39,39,55,0,0,1.0
PURPOSE,PURPOSE_FORCED_LABOUR_OR_SERVICES,Forced labour or services,55,55,55,0,17,13,13,51,4,0,0.9272727272727272
PURPOSE,PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES,Slavery or practices similar to slavery,55,55,55,0,2,3,1,52,1,2,0.9454545454545454
PURPOSE,PURPOSE_SERVITUDE,Servitude,55,55,55,0,4,3,2,52,2,1,0.9454545454545454
PURPOSE,PURPOSE_REMOVAL_OF_ORGANS,Removal of organs,55,55,55,0,2,2,2,55,0,0,1.0
PURPOSE,PURPOSE_OTHER,Other,55,55,55,0,5,4,4,54,1,0,0.9818181818181818
