evaluation,reference_type,method,N,macro_f1,micro_f1,example_jaccard,act_cpmr,means_cpmr,purpose_cpmr
A1,SHERLOC Legacy Keywords silver reference,M1,253,0.4666761002175695,0.7145135566188198,0.5579098766845803,0.15019762845849802,0.11067193675889328,0.766798418972332
A1,SHERLOC Legacy Keywords silver reference,M2,253,0.5346157828013263,0.7181719260065288,0.5665093141377726,0.2490118577075099,0.1383399209486166,0.7707509881422925
A1,SHERLOC Legacy Keywords silver reference,M3,253,0.5934209776519799,0.7218095881161377,0.5792682120251291,0.48221343873517786,0.43478260869565216,0.758893280632411
A1,SHERLOC Legacy Keywords silver reference,M4,253,0.6017178842048039,0.720531654424624,0.5741670384951018,0.5059288537549407,0.45849802371541504,0.7905138339920948
A2,SHERLOC Legacy Keywords silver reference,M1,861,0.47984484500934504,0.7045454545454546,0.545735149480794,0.13356562137049943,0.14634146341463414,0.775842044134727
A2,SHERLOC Legacy Keywords silver reference,M2,861,0.5274875865728823,0.7058633500242287,0.5461753790151003,0.1765389082462253,0.1765389082462253,0.8466898954703833
A2,SHERLOC Legacy Keywords silver reference,M3,861,0.5722573707446506,0.7286043945018561,0.5771988690107156,0.5098722415795587,0.4332171893147503,0.7619047619047619
A2,SHERLOC Legacy Keywords silver reference,M4,861,0.5680938243015192,0.7259860547403476,0.5747711380115561,0.5714285714285714,0.45876887340301975,0.8025551684088269
A3,single-reviewer human-grounded narrative reference,M1,55,0.4560811460652656,0.7306791569086651,0.5783654729109274,0.07272727272727272,0.23636363636363636,0.6727272727272727
A3,single-reviewer human-grounded narrative reference,M2,55,0.6439569242770059,0.7465667915106118,0.5960213523849887,0.2,0.2727272727272727,0.7272727272727273
A3,single-reviewer human-grounded narrative reference,M3,55,0.6486296022744523,0.7736131934032984,0.6214914378550741,0.5454545454545454,0.5272727272727272,0.7818181818181819
A3,single-reviewer human-grounded narrative reference,M4,55,0.6117600844686502,0.7641509433962265,0.6034638593729503,0.5818181818181818,0.5636363636363636,0.8363636363636363
