evaluation,reference_type,method,N,macro_f1,macro_f1_ci_low,macro_f1_ci_high,micro_f1,micro_f1_ci_low,micro_f1_ci_high,exact_set_accuracy,exact_set_accuracy_ci_low,exact_set_accuracy_ci_high,example_jaccard,example_jaccard_ci_low,example_jaccard_ci_high,act_cpmr,means_cpmr,purpose_cpmr,act_mean_contained_recall,means_mean_contained_recall,purpose_mean_contained_recall
A1,SHERLOC Legacy Keywords silver reference,M1,253,0.4666761002175695,0.4482936121958436,0.483431120354238,0.7145135566188198,0.6958086356569282,0.7317880628133134,0.003952569169960474,0.0,0.011857707509881422,0.5579098766845803,0.5357704814399479,0.5779718420578105,0.15019762845849802,0.11067193675889328,0.766798418972332,0.9526315789473683,0.905952380952381,0.9561855670103093
A1,SHERLOC Legacy Keywords silver reference,M2,253,0.5346157828013263,0.5024276614975334,0.5613755127362856,0.7181719260065288,0.7009001085782023,0.7347601715567376,0.011857707509881422,0.0,0.02766798418972332,0.5665093141377726,0.5458074887892082,0.5869843674660867,0.2490118577075099,0.1383399209486166,0.7707509881422925,0.9134920634920635,0.8795238095238095,0.952991452991453
A1,SHERLOC Legacy Keywords silver reference,M3,253,0.5934209776519799,0.5183155740858126,0.6186100107214493,0.7218095881161377,0.7004060912051663,0.7411402876041683,0.04743083003952569,0.023715415019762844,0.07509881422924901,0.5792682120251291,0.5517931098600565,0.6041395322398286,0.48221343873517786,0.43478260869565216,0.758893280632411,0.769535519125683,0.763939393939394,0.9505208333333334
A1,SHERLOC Legacy Keywords silver reference,M4,253,0.6017178842048039,0.5284076646558614,0.6282280473200462,0.720531654424624,0.698897822413148,0.7391068248866447,0.06324110671936758,0.03557312252964427,0.09486166007905138,0.5741670384951018,0.5456146496783848,0.5995389779851242,0.5059288537549407,0.45849802371541504,0.7905138339920948,0.7717447916666667,0.7757183908045977,0.9608333333333333
A2,SHERLOC Legacy Keywords silver reference,M1,861,0.47984484500934504,0.46518742049402184,0.49705367807099615,0.7045454545454546,0.6959534718255133,0.714220738755209,0.0011614401858304297,0.0,0.003484320557491289,0.545735149480794,0.5357331605676552,0.5575749473941983,0.13356562137049943,0.14634146341463414,0.775842044134727,0.961304347826087,0.8458994708994708,0.9583333333333333
A2,SHERLOC Legacy Keywords silver reference,M2,861,0.5274875865728823,0.5072156386823569,0.5469264064948371,0.7058633500242287,0.6968745301443386,0.7153964602261891,0.008130081300813009,0.003484320557491289,0.013966318234610892,0.5461753790151003,0.5358526500599671,0.5573382178216673,0.1765389082462253,0.1765389082462253,0.8466898954703833,0.8994517543859649,0.7861842105263158,0.9495884773662552
A2,SHERLOC Legacy Keywords silver reference,M3,861,0.5722573707446506,0.5522657825730574,0.5901958176116461,0.7286043945018561,0.7184655620821303,0.7384946319380332,0.0429732868757259,0.029036004645760744,0.05807200929152149,0.5771988690107156,0.5634689234819897,0.5908393850793677,0.5098722415795587,0.4332171893147503,0.7619047619047619,0.787129840546697,0.7561215370866845,0.9646849593495934
A2,SHERLOC Legacy Keywords silver reference,M4,861,0.5680938243015192,0.5477892334926079,0.5872654595475544,0.7259860547403476,0.7149217008063932,0.7369531626087785,0.04994192799070848,0.036004645760743324,0.06390824622531938,0.5747711380115561,0.5602528815551463,0.5899214752372417,0.5714285714285714,0.45876887340301975,0.8025551684088269,0.7656165311653117,0.7479746835443037,0.9691268692715872
A3,single-reviewer human-grounded narrative reference,M1,55,0.4560811460652656,0.42602336960484155,0.4829510288323277,0.7306791569086651,0.6888273231123587,0.7713707593828761,0.0,0.0,0.0,0.5783654729109274,0.5286750459136823,0.6292100550964188,0.07272727272727272,0.23636363636363636,0.6727272727272727,1.0,0.8999999999999999,0.972972972972973
A3,single-reviewer human-grounded narrative reference,M2,55,0.6439569242770059,0.5553485680695165,0.6926091090646167,0.7465667915106118,0.7101612688706532,0.7806135529097585,0.0,0.0,0.0,0.5960213523849887,0.5536292772883682,0.6405489308671124,0.2,0.2727272727272727,0.7272727272727273,0.8848484848484849,0.8277777777777777,0.95
A3,single-reviewer human-grounded narrative reference,M3,55,0.6486296022744523,0.5378800536564873,0.7016340519201775,0.7736131934032984,0.7427696844650077,0.8031329582137733,0.05454545454545454,0.0,0.12727272727272726,0.6214914378550741,0.5718803128689492,0.6705607019243383,0.5454545454545454,0.5272727272727272,0.7818181818181819,0.7099999999999999,0.8195402298850575,0.9883720930232558
A3,single-reviewer human-grounded narrative reference,M4,55,0.6117600844686502,0.5097475109399886,0.6627905758843963,0.7641509433962265,0.7304497294418907,0.794438906938355,0.01818181818181818,0.0,0.05454545454545454,0.6034638593729503,0.5518922340285978,0.6512304538895448,0.5818181818181818,0.5636363636363636,0.8363636363636363,0.6656249999999999,0.775268817204301,0.9782608695652174
