evaluation,reference_type,comparison,first_method,second_method,metric,n,point_difference,ci_low,ci_high,confidence_level,bootstrap_resamples,seed,resampling_unit,bootstrap_method,macro_label_count,macro_label_ids_json,ci_excludes_zero
A1,SHERLOC silver reference,M3 - M2,M3,M2,Macro-F1,253,0.05880519485065361,-0.022817183076896883,0.09268393960118956,0.95,1000,20260811,CASE_WITH_ALL_17_LABELS,PAIRED_CASE_RESAMPLING_PERCENTILE_LINEAR,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",False
A1,SHERLOC silver reference,M3 - M2,M3,M2,Micro-F1,253,0.003637662109608919,-0.019690342778475384,0.026178036944438567,0.95,1000,20260811,CASE_WITH_ALL_17_LABELS,PAIRED_CASE_RESAMPLING_PERCENTILE_LINEAR,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",False
A1,SHERLOC silver reference,M3 - M2,M3,M2,Exact-set accuracy,253,0.035573122529644265,0.00790513833992095,0.0632411067193676,0.95,1000,20260811,CASE_WITH_ALL_17_LABELS,PAIRED_CASE_RESAMPLING_PERCENTILE_LINEAR,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",True
A1,SHERLOC silver reference,M3 - M2,M3,M2,Example-based Jaccard,253,0.012758897887356513,-0.01688773293022306,0.04169359598460382,0.95,1000,20260811,CASE_WITH_ALL_17_LABELS,PAIRED_CASE_RESAMPLING_PERCENTILE_LINEAR,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",False
A1,SHERLOC silver reference,M3 - M2,M3,M2,Act CPMR,253,0.23320158102766797,0.1660079051383399,0.3003952569169961,0.95,1000,20260811,CASE_WITH_ALL_17_LABELS,PAIRED_CASE_RESAMPLING_PERCENTILE_LINEAR,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",True
A1,SHERLOC silver reference,M3 - M2,M3,M2,Means CPMR,253,0.2964426877470355,0.23320158102766797,0.3596837944664032,0.95,1000,20260811,CASE_WITH_ALL_17_LABELS,PAIRED_CASE_RESAMPLING_PERCENTILE_LINEAR,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",True
A1,SHERLOC silver reference,M3 - M2,M3,M2,Purpose CPMR,253,-0.011857707509881465,-0.08300395256916993,0.055335968379446654,0.95,1000,20260811,CASE_WITH_ALL_17_LABELS,PAIRED_CASE_RESAMPLING_PERCENTILE_LINEAR,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",False
A1,SHERLOC silver reference,M4 - M2,M4,M2,Macro-F1,253,0.06710210140347761,-0.01411211312676042,0.10033599239338041,0.95,1000,20260811,CASE_WITH_ALL_17_LABELS,PAIRED_CASE_RESAMPLING_PERCENTILE_LINEAR,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",False
A1,SHERLOC silver reference,M4 - M2,M4,M2,Micro-F1,253,0.002359728418095175,-0.020225843729570744,0.024289289274040362,0.95,1000,20260811,CASE_WITH_ALL_17_LABELS,PAIRED_CASE_RESAMPLING_PERCENTILE_LINEAR,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",False
A1,SHERLOC silver reference,M4 - M2,M4,M2,Exact-set accuracy,253,0.05138339920948616,0.023715415019762844,0.08300395256916995,0.95,1000,20260811,CASE_WITH_ALL_17_LABELS,PAIRED_CASE_RESAMPLING_PERCENTILE_LINEAR,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",True
