method,evaluation,scope,metric,estimate,ci_lower,ci_upper,confidence_level,n_resamples,seed,bootstrap_method,macro_label_count,macro_label_ids,reference_terminology
M1,A1,TEST,macro_f1,0.4666761002175695,0.4482936121958436,0.483431120354238,0.95,1000,20260811,case_resampling_percentile_linear,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",SHERLOC Legacy Keywords silver reference
M1,A1,TEST,micro_f1,0.7145135566188198,0.6958086356569282,0.7317880628133134,0.95,1000,20260811,case_resampling_percentile_linear,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",SHERLOC Legacy Keywords silver reference
M1,A1,TEST,exact_set_accuracy,0.003952569169960474,0.0,0.011857707509881422,0.95,1000,20260811,case_resampling_percentile_linear,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",SHERLOC Legacy Keywords silver reference
M1,A1,TEST,example_jaccard,0.5579098766845803,0.5357704814399479,0.5779718420578105,0.95,1000,20260811,case_resampling_percentile_linear,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",SHERLOC Legacy Keywords silver reference
M2,A1,TEST,macro_f1,0.5346157828013263,0.5024276614975334,0.5613755127362856,0.95,1000,20260811,case_resampling_percentile_linear,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",SHERLOC Legacy Keywords silver reference
M2,A1,TEST,micro_f1,0.7181719260065288,0.7009001085782023,0.7347601715567376,0.95,1000,20260811,case_resampling_percentile_linear,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",SHERLOC Legacy Keywords silver reference
M2,A1,TEST,exact_set_accuracy,0.011857707509881422,0.0,0.02766798418972332,0.95,1000,20260811,case_resampling_percentile_linear,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",SHERLOC Legacy Keywords silver reference
M2,A1,TEST,example_jaccard,0.5665093141377726,0.5458074887892082,0.5869843674660867,0.95,1000,20260811,case_resampling_percentile_linear,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",SHERLOC Legacy Keywords silver reference
M3,A1,TEST,macro_f1,0.5934209776519799,0.5183155740858126,0.6186100107214493,0.95,1000,20260811,case_resampling_percentile_linear,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",SHERLOC Legacy Keywords silver reference
M3,A1,TEST,micro_f1,0.7218095881161377,0.7004060912051663,0.7411402876041683,0.95,1000,20260811,case_resampling_percentile_linear,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",SHERLOC Legacy Keywords silver reference
