label_id,family,support,m1_precision,m1_recall,m1_f1,m2_precision,m2_recall,m2_f1,m3_precision,m3_recall,m3_f1,m4_precision,m4_recall,m4_f1
ACT_RECRUITMENT,ACT,208,0.8221343873517787,1.0,0.9023861171366594,0.8214285714285714,0.9951923076923077,0.9,0.8805970149253731,0.8509615384615384,0.8655256723716381,0.8769230769230769,0.8221153846153846,0.8486352357320099
ACT_TRANSPORTATION,ACT,165,0.6521739130434783,1.0,0.7894736842105263,0.6507936507936508,0.9939393939393939,0.7865707434052758,0.7475247524752475,0.9151515151515152,0.8228882833787466,0.7487179487179487,0.8848484848484849,0.8111111111111111
ACT_TRANSFER,ACT,98,0.3898305084745763,0.9387755102040817,0.5508982035928144,0.46195652173913043,0.8673469387755102,0.6028368794326241,0.5409836065573771,0.336734693877551,0.41509433962264153,0.5576923076923077,0.29591836734693877,0.38666666666666666
ACT_HARBOURING,ACT,122,0.5148936170212766,0.9918032786885246,0.6778711484593838,0.544973544973545,0.8442622950819673,0.662379421221865,0.6893939393939394,0.7459016393442623,0.7165354330708661,0.6974789915966386,0.680327868852459,0.6887966804979253
ACT_RECEIPT,ACT,71,0.4066666666666667,0.8591549295774648,0.5520361990950227,0.4,0.676056338028169,0.5026178010471204,0.4594594594594595,0.4788732394366197,0.4689655172413793,0.5294117647058824,0.38028169014084506,0.4426229508196721
MEANS_THREAT_FORCE_OR_COERCION,MEANS,133,0.5277777777777778,1.0,0.6909090909090909,0.5625,0.9473684210526315,0.7058823529411765,0.6838709677419355,0.7969924812030075,0.7361111111111112,0.6933333333333334,0.7819548872180451,0.734982332155477
MEANS_ABDUCTION,MEANS,23,0.0,0.0,0.0,0.06666666666666667,0.043478260869565216,0.05263157894736842,0.6,0.2608695652173913,0.36363636363636365,0.6363636363636364,0.30434782608695654,0.4117647058823529
MEANS_FRAUD,MEANS,61,0.5063291139240507,0.6557377049180327,0.5714285714285714,0.3515625,0.7377049180327869,0.47619047619047616,0.5,0.21311475409836064,0.2988505747126437,0.6666666666666666,0.22950819672131148,0.34146341463414637
MEANS_DECEPTION,MEANS,133,0.525691699604743,1.0,0.689119170984456,0.5777777777777777,0.9774436090225563,0.7262569832402235,0.7753623188405797,0.8045112781954887,0.7896678966789668,0.7734375,0.7443609022556391,0.7586206896551724
MEANS_ABUSE_OF_POWER_OR_VULNERABILITY,MEANS,154,0.6086956521739131,1.0,0.7567567567567568,0.6198347107438017,0.974025974025974,0.7575757575757576,0.8125,0.5909090909090909,0.6842105263157895,0.8468468468468469,0.6103896103896104,0.7094339622641509
MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL,MEANS,28,0.36363636363636365,0.14285714285714285,0.20512820512820512,0.25,0.25,0.25,0.3404255319148936,0.5714285714285714,0.4266666666666667,0.2926829268292683,0.42857142857142855,0.34782608695652173
PURPOSE_SEXUAL_EXPLOITATION,PURPOSE,202,0.7984189723320159,1.0,0.8879120879120879,0.9478672985781991,0.9900990099009901,0.9685230024213075,0.9897435897435898,0.9554455445544554,0.9722921914357683,0.9947916666666666,0.9455445544554455,0.9695431472081218
PURPOSE_FORCED_LABOUR_OR_SERVICES,PURPOSE,50,0.7045454545454546,0.62,0.6595744680851063,0.6271186440677966,0.74,0.6788990825688074,0.5737704918032787,0.7,0.6306306306306306,0.7391304347826086,0.68,0.7083333333333334
PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES,PURPOSE,13,0.0,0.0,0.0,0.3333333333333333,0.23076923076923078,0.2727272727272727,0.09090909090909091,0.15384615384615385,0.11428571428571428,0.1111111111111111,0.15384615384615385,0.12903225806451613
PURPOSE_SERVITUDE,PURPOSE,14,0.0,0.0,0.0,0.3333333333333333,0.5714285714285714,0.42105263157894735,0.25,0.2857142857142857,0.26666666666666666,0.3684210526315789,0.5,0.42424242424242425
PURPOSE_REMOVAL_OF_ORGANS,PURPOSE,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PURPOSE_OTHER,PURPOSE,13,0.0,0.0,0.0,0.25,0.46153846153846156,0.32432432432432434,0.4444444444444444,0.6153846153846154,0.5161290322580645,0.4444444444444444,0.6153846153846154,0.5161290322580645
