comparison,evaluation,scope,label_id,family,support,m3_predicted_positive,m4_predicted_positive,delta_predicted_positive,m3_precision,m4_precision,delta_precision,m3_recall,m4_recall,delta_recall,m3_f1,m4_f1,delta_f1_m4_minus_m3,significance_claim,reference_terminology
M4_MINUS_M3,A2,POOLED_OOD_TEST,ACT_RECRUITMENT,ACT,712,700,650,-50,0.89,0.9076923076923077,0.017692307692307674,0.875,0.8286516853932584,-0.0463483146067416,0.8824362606232294,0.8663729809104258,-0.016063279712803635,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
M4_MINUS_M3,A2,POOLED_OOD_TEST,ACT_TRANSPORTATION,ACT,597,649,606,-43,0.7981510015408321,0.8333333333333334,0.0351823317925013,0.8676716917922948,0.8458961474036851,-0.021775544388609624,0.8314606741573034,0.8395677472984207,0.00810707314111725,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
M4_MINUS_M3,A2,POOLED_OOD_TEST,ACT_TRANSFER,ACT,308,159,135,-24,0.5974842767295597,0.5777777777777777,-0.019706498951782003,0.30844155844155846,0.2532467532467532,-0.05519480519480524,0.4068522483940043,0.35214446952595935,-0.054707778868044954,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
M4_MINUS_M3,A2,POOLED_OOD_TEST,ACT_HARBOURING,ACT,402,461,413,-48,0.6334056399132321,0.6634382566585957,0.030032616745363616,0.7263681592039801,0.681592039800995,-0.04477611940298509,0.6767091541135574,0.6723926380368098,-0.004316516076747545,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
M4_MINUS_M3,A2,POOLED_OOD_TEST,ACT_RECEIPT,ACT,226,206,145,-61,0.5194174757281553,0.5517241379310345,0.032306662202879144,0.47345132743362833,0.35398230088495575,-0.11946902654867259,0.49537037037037035,0.431266846361186,-0.06410352400918434,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
M4_MINUS_M3,A2,POOLED_OOD_TEST,MEANS_THREAT_FORCE_OR_COERCION,MEANS,469,517,501,-16,0.7001934235976789,0.7105788423153693,0.010385418717690387,0.7718550106609808,0.7590618336886994,-0.01279317697228144,0.7342799188640974,0.734020618556701,-0.00025930030739640397,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
M4_MINUS_M3,A2,POOLED_OOD_TEST,MEANS_ABDUCTION,MEANS,72,39,29,-10,0.5641025641025641,0.6206896551724138,0.056587091069849715,0.3055555555555556,0.25,-0.05555555555555558,0.3963963963963964,0.3564356435643564,-0.03996075283203998,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
M4_MINUS_M3,A2,POOLED_OOD_TEST,MEANS_FRAUD,MEANS,225,96,96,0,0.6145833333333334,0.5520833333333334,-0.0625,0.26222222222222225,0.23555555555555555,-0.0266666666666667,0.367601246105919,0.3302180685358255,-0.03738317757009346,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
M4_MINUS_M3,A2,POOLED_OOD_TEST,MEANS_DECEPTION,MEANS,470,489,465,-24,0.7832310838445807,0.8021505376344086,0.018919453789827845,0.8148936170212766,0.7936170212765957,-0.021276595744680882,0.7987486965589156,0.7978609625668449,-0.0008877339920706495,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
M4_MINUS_M3,A2,POOLED_OOD_TEST,MEANS_ABUSE_OF_POWER_OR_VULNERABILITY,MEANS,564,346,354,8,0.8265895953757225,0.8361581920903954,0.009568596714672917,0.5070921985815603,0.524822695035461,0.01773049645390068,0.6285714285714286,0.644880174291939,0.016308745720510442,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
M4_MINUS_M3,A2,POOLED_OOD_TEST,MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL,MEANS,87,127,113,-14,0.2992125984251969,0.3274336283185841,0.028221029893387206,0.4367816091954023,0.42528735632183906,-0.01149425287356326,0.35514018691588783,0.37,0.014859813084112161,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
M4_MINUS_M3,A2,POOLED_OOD_TEST,PURPOSE_SEXUAL_EXPLOITATION,PURPOSE,720,698,685,-13,0.9871060171919771,0.9883211678832117,0.0012151506912345678,0.9569444444444445,0.9402777777777778,-0.01666666666666672,0.9717912552891397,0.9637010676156583,-0.008090187673481353,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
M4_MINUS_M3,A2,POOLED_OOD_TEST,PURPOSE_FORCED_LABOUR_OR_SERVICES,PURPOSE,157,185,146,-39,0.6,0.7191780821917808,0.11917808219178083,0.7070063694267515,0.6687898089171974,-0.03821656050955413,0.6491228070175439,0.693069306930693,0.04394649991314914,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
M4_MINUS_M3,A2,POOLED_OOD_TEST,PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES,PURPOSE,37,63,48,-15,0.19047619047619047,0.2708333333333333,0.08035714285714285,0.32432432432432434,0.35135135135135137,0.02702702702702703,0.24,0.3058823529411765,0.0658823529411765,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
M4_MINUS_M3,A2,POOLED_OOD_TEST,PURPOSE_SERVITUDE,PURPOSE,44,63,56,-7,0.3333333333333333,0.375,0.041666666666666685,0.4772727272727273,0.4772727272727273,0.0,0.3925233644859813,0.42,0.027476635514018688,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
M4_MINUS_M3,A2,POOLED_OOD_TEST,PURPOSE_REMOVAL_OF_ORGANS,PURPOSE,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
M4_MINUS_M3,A2,POOLED_OOD_TEST,PURPOSE_OTHER,PURPOSE,30,49,47,-2,0.2653061224489796,0.2553191489361702,-0.009986973512809416,0.43333333333333335,0.4,-0.033333333333333326,0.3291139240506329,0.3116883116883117,-0.017425612362321208,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
