method,fold,macro_f1,micro_f1,exact_set_accuracy,example_jaccard,act_cpmr,act_mean_contained_recall,means_cpmr,means_mean_contained_recall,purpose_cpmr,purpose_mean_contained_recall,test_n,macro_label_count,reference_terminology
M1,1,0.5103996047226297,0.7041821764834684,0.0,0.5454539191518358,0.1284722222222222,0.9337837837837837,0.1111111111111111,0.8614583333333333,0.7048611111111112,0.9679802955665024,288,16,SHERLOC Legacy Keywords silver reference
M1,2,0.45470996927736296,0.7089337175792507,0.003484320557491289,0.5486591031887198,0.13937282229965156,0.96,0.0975609756097561,0.8178571428571428,0.8641114982578397,0.9758064516129032,287,16,SHERLOC Legacy Keywords silver reference
M1,3,0.45332396700908684,0.7006755182855812,0.0,0.5430841691331201,0.13286713286713286,0.9894736842105264,0.23076923076923078,0.8502525252525251,0.7587412587412588,0.9293394777265745,286,16,SHERLOC Legacy Keywords silver reference
M2,1,0.5243286551598623,0.721958174904943,0.010416666666666666,0.5641923662756996,0.1736111111111111,0.8893333333333334,0.1736111111111111,0.8006666666666666,0.8541666666666666,0.9535907859078591,288,16,SHERLOC Legacy Keywords silver reference
M2,2,0.5201825594116118,0.6957364341085271,0.0,0.5340559749967414,0.16376306620209058,0.9191489361702129,0.11498257839721254,0.8272727272727273,0.8571428571428571,0.9742547425474254,287,16,SHERLOC Legacy Keywords silver reference
M2,3,0.5172199209484101,0.6994562530894711,0.013986013986013986,0.5401941783934792,0.19230769230769232,0.8918181818181817,0.24125874125874125,0.7560386473429951,0.8286713286713286,0.919831223628692,286,16,SHERLOC Legacy Keywords silver reference
M3,1,0.5983582524154492,0.7603778986544517,0.07291666666666667,0.6264606920856921,0.5,0.8473379629629629,0.5069444444444444,0.788013698630137,0.7951388888888888,0.9759825327510917,288,16,SHERLOC Legacy Keywords silver reference
M3,2,0.5065659967421776,0.6901779828609097,0.024390243902439025,0.5224273403715912,0.5156794425087108,0.7448198198198199,0.3170731707317073,0.7212454212454211,0.7909407665505227,0.9772393538913362,287,16,SHERLOC Legacy Keywords silver reference
M3,3,0.5763553540048402,0.7302325581395349,0.03146853146853147,0.5825555951430078,0.513986013986014,0.770748299319728,0.4755244755244755,0.745220588235294,0.6993006993006993,0.9375,286,16,SHERLOC Legacy Keywords silver reference
M4,1,0.6058426311874111,0.7610305004441812,0.07291666666666667,0.6293716218195384,0.5590277777777778,0.8258799171842649,0.5451388888888888,0.7694267515923566,0.8506944444444444,0.9775510204081632,288,16,SHERLOC Legacy Keywords silver reference
M4,2,0.4762830749489575,0.673567977915804,0.0313588850174216,0.5050548174241555,0.5609756097560976,0.7070393374741201,0.34843205574912894,0.7279999999999999,0.8048780487804879,0.9805194805194806,287,16,SHERLOC Legacy Keywords silver reference
M4,3,0.5764602785909432,0.7360527894421116,0.045454545454545456,0.589748916584581,0.5944055944055944,0.7640196078431372,0.4825174825174825,0.7380434782608696,0.7517482517482518,0.9472868217054264,286,16,SHERLOC Legacy Keywords silver reference
