method,jurisdiction,fold,macro_f1,micro_f1,exact_set_accuracy,example_jaccard,act_cpmr,act_mean_contained_recall,means_cpmr,means_mean_contained_recall,purpose_cpmr,purpose_mean_contained_recall,test_n,macro_label_count,reference_terminology
M1,Argentina,1,0.5051660007697062,0.746044962531224,0.0,0.5952323232323232,0.18666666666666668,0.9857142857142858,0.09333333333333334,1.0,0.7333333333333333,0.9727272727272728,75,16,SHERLOC Legacy Keywords silver reference
M1,Australia,1,0.5768636831936065,0.7736842105263158,0.0,0.636096681096681,0.4,0.8500000000000001,0.5,0.8366666666666667,0.25,0.9,20,16,SHERLOC Legacy Keywords silver reference
M1,Belgium,2,0.4154714419803933,0.6685393258426966,0.0,0.5112268518518518,0.125,1.0,0.125,0.8333333333333334,0.5,0.8333333333333334,24,16,SHERLOC Legacy Keywords silver reference
M1,Brazil,2,0.4271495652720025,0.6800832755031229,0.0,0.5152572885582595,0.0970873786407767,1.0,0.0,N/A,0.9805825242718447,0.995049504950495,103,16,SHERLOC Legacy Keywords silver reference
M1,Canada,3,0.4412479678927047,0.7174603174603175,0.0,0.5590335169880624,0.045454545454545456,1.0,0.2727272727272727,0.875,0.9090909090909091,0.975,22,16,SHERLOC Legacy Keywords silver reference
M1,Colombia,3,0.45099581049731624,0.7651888341543513,0.0,0.6222293788083263,0.42105263157894735,0.975,0.21052631578947367,0.79375,0.8947368421052632,0.9411764705882353,38,16,SHERLOC Legacy Keywords silver reference
M1,Czechia,2,0.4117186756966291,0.6700251889168766,0.0,0.5068229918229917,0.1,0.9333333333333332,0.1,0.9166666666666666,0.9333333333333333,0.9880952380952381,30,16,SHERLOC Legacy Keywords silver reference
M1,India,2,0.5321861866529043,0.8046511627906977,0.0,0.6729558902635826,0.46153846153846156,0.9,0.23076923076923078,0.725,0.8846153846153846,1.0,26,16,SHERLOC Legacy Keywords silver reference
M1,Philippines,2,0.45043190937906363,0.7346189164370982,0.0,0.576387653442448,0.136986301369863,0.9800000000000001,0.1232876712328767,0.7555555555555555,0.8767123287671232,0.9505208333333333,73,16,SHERLOC Legacy Keywords silver reference
M1,Poland,3,0.47067140455581924,0.7227414330218068,0.0,0.5750601250601252,0.14285714285714285,1.0,0.23809523809523808,0.8699999999999999,0.8095238095238095,0.9411764705882353,21,16,SHERLOC Legacy Keywords silver reference
M1,Republic of Moldova,1,0.34644689008334506,0.6353240152477764,0.0,0.47503607503607503,0.0,N/A,0.017543859649122806,1.0,0.8070175438596491,1.0,57,16,SHERLOC Legacy Keywords silver reference
M1,Romania,1,0.5386710595854085,0.7334851936218679,0.0,0.5812907178291794,0.19230769230769232,0.9400000000000001,0.09615384615384616,0.8766666666666667,0.5769230769230769,0.9166666666666666,52,16,SHERLOC Legacy Keywords silver reference
M1,Serbia,1,0.46331611346101315,0.711340206185567,0.0,0.562618554285221,0.1388888888888889,0.9099999999999999,0.08333333333333333,0.7833333333333333,0.5833333333333334,0.9285714285714286,36,16,SHERLOC Legacy Keywords silver reference
M1,Slovakia,1,0.37204543037707255,0.6332882273342354,0.0,0.4618318602693603,0.0,N/A,0.125,0.7444444444444444,0.9583333333333334,0.9891304347826086,48,16,SHERLOC Legacy Keywords silver reference
M1,Sweden,2,0.45084401486376524,0.7139689578713969,0.03225806451612903,0.5595605111734144,0.06451612903225806,1.0,0.22580645161290322,0.9285714285714286,0.6451612903225806,1.0,31,16,SHERLOC Legacy Keywords silver reference
M1,Ukraine,3,0.49965094475496197,0.7784810126582279,0.0,0.644150690579262,0.19047619047619047,1.0,0.42857142857142855,0.75,0.7619047619047619,1.0,21,16,SHERLOC Legacy Keywords silver reference
M1,United Kingdom of Great Britain and Northern Ireland,3,0.48384063927464216,0.7557840616966581,0.0,0.6107218013468013,0.20833333333333334,1.0,0.25,0.9583333333333334,0.7083333333333334,0.9411764705882353,24,16,SHERLOC Legacy Keywords silver reference
M1,United States of America,3,0.4219781435891599,0.6589842082799829,0.0,0.4944866765179265,0.05625,1.0,0.2,0.8645833333333333,0.70625,0.9041297935103245,160,16,SHERLOC Legacy Keywords silver reference
M2,Argentina,1,0.5333713453889928,0.7243816254416962,0.013333333333333334,0.5665796055796055,0.24,0.9222222222222223,0.13333333333333333,0.925,0.8266666666666667,0.967741935483871,75,16,SHERLOC Legacy Keywords silver reference
