search_rank,case_title,unodc_case_number,canonical_url,url_path_crime_type,fact_summary_status,has_english_fact_summary,has_any_fact_summary,fact_summary_variant_count,fact_summary_language_count,fact_summary_languages,has_sidebar_acts,sidebar_acts_count,has_sidebar_means,sidebar_means_count,has_sidebar_purpose,sidebar_purpose_count,has_legacy_keyword_acts,legacy_keyword_acts_count,has_legacy_keyword_means,legacy_keyword_means_count,has_legacy_keyword_purpose,legacy_keyword_purpose_count,has_victim_or_person_role_section,person_role_section_count,person_role_record_count,has_defendant_or_respondent_section,defendant_respondent_section_count,defendant_respondent_record_count,has_charges_claims_decisions,charge_subject_record_count,charge_record_count,has_court,tabbed_section_count,tabbed_pane_count,multi_pane_section_count,multilingual_section_count,multilingual_section_labels,crime_type_badge_count,parse_warning_count,parse_warning_severity_count,parse_warning_codes,overall_parse_status
1,Criminal Case No. 1000711-61.2022.4.01.4200,BRA016,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2024/criminal_case_no._1000711-61.2022.4.01.4200_.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,4,1,5,1,2,0,0,0,0,0,0,1,1,2,1,1,1,1,1,2,1,0,0,0,0,,1,2,2,NESTED_CASE_LAW_DETAIL|NESTED_CASE_LAW_DETAIL,PARTIAL
2,"Krachunova v. Bulgaria, no. 18269/18, 28 November 2023",IRBx041,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/_irb/2023/krachunova_v._bulgaria_no._1826918_28_november_2023.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,3,1,3,1,1,0,0,0,0,0,0,1,1,1,1,1,2,1,2,2,1,0,0,0,0,,1,0,0,,FOUND
3,Sent. n. sez. 1337,ITAx041,https://www.unodc.org/cld/case-law-doc/drugcrimetype/ita/2023/sent._n._sez._1337.html,drugcrimetype,FOUND,1,1,1,1,en,1,3,1,4,1,2,0,0,0,0,0,0,0,0,0,1,1,2,1,2,3,1,0,0,0,0,,2,0,0,,FOUND
4,"G.G. and Deanna Rose v. Salesforce.com, INC.",USAx282,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/usa/2023/g.g._and_deanna_rose_v._salesforce.com_inc..html,criminalgroupcrimetype,FOUND,1,1,1,1,en,1,1,0,0,1,1,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1,1,0,0,0,0,,2,0,0,,FOUND
5,"Rex and Obinna Obeta, Ike and Beatrice Ekweremadu",GBRx119,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2023/rex_and_obinna_obeta_ike_and_beatrice_ekweremadu_.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,0,,FOUND
6,"Lenida T. Maestrado, petitioner, vs. People of the Philippines, respondent",x016,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2022/lenida_t._maestrado_petitioner_vs._people_of_the_philippines_respondent.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,0,0,0,0,0,,1,0,0,,FOUND
7,Basfar v Wong 2022 UKSC 20,GBRx113,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2022/basfar_v_wong_2022_uksc_20.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,1,0,0,,FOUND
8,"Public Prosecutor V Sekdah Somon, Buxoo bibi, Anowar Hossain & Palas Hosan",VUTx002,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/vut/2022/public_prosecutor_v_sekdah_somon_buxoo_bibi_anowar_hossain_palas_hosan.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,3,1,4,1,3,0,0,0,0,1,3,1,1,1,1,1,4,1,4,3,1,0,0,0,0,,2,0,0,,FOUND
9,(2022) EWCA Crim 106,GBRx112,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2022/2022_ewca_crim_106.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,3,1,3,1,2,0,0,0,0,0,0,0,0,0,1,1,3,1,3,3,0,0,0,0,0,,2,0,0,,FOUND
10,"United States of America v. Maxwell, No. 1:22-cr-00330-AJN (S.D.N.Y. Dec. 29, 2021)",USAx226,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/usa/2021/united_states_of_america_v._maxwell_no._122-cr-00330-ajn_s.d.n.y._dec._29_2021.html,criminalgroupcrimetype,FOUND,1,1,1,1,en,1,2,0,0,1,1,0,0,0,0,0,0,1,1,4,1,1,1,1,1,5,1,0,0,0,0,,3,0,0,,FOUND
11,Criminal Case No. 0005108-81.2014.4.03.6181,BRAx013,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2021/criminal_case_no._0005108-81.2014.4.03.6181.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,3,1,4,1,2,0,0,0,0,0,0,1,1,7,1,1,2,1,2,2,1,0,0,0,0,,1,0,0,,FOUND
12,"OLG Frankfurt am Main, Urteil vom 30.11.2021, 5-3 StE 1/20",DEUx038,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/deu/2021/olg_frankfurt_am_main_urteil_vom_30.11.2021_5-3_ste_120.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,1,0,0,1,2,0,0,0,0,0,0,1,1,2,1,1,1,1,1,7,0,0,0,0,0,,2,0,0,,FOUND
13,Case of Zoletic and Others v. Azerbaijan,IRBx037,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/aze/2021/case_of_zoletic_and_others_v._azerbaijan.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,4,1,4,1,2,1,4,1,4,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,3,0,0,,FOUND
14,Criminal Case No. 0001447-21.2019.4.03.6181,BRAx015,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2021/criminal_case_no._0001447-21.2019.4.03.6181.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,3,1,3,1,2,0,0,0,0,0,0,1,1,7,1,1,1,1,1,2,1,0,0,0,0,,2,0,0,,FOUND
15,Case No. 21-cv-00485-JCS – John Doe et al. v. Twitter. INC.,USAx222,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2021/case_no._21-cv-00485-jcs_john_doe_et_al._v._twitter._inc..html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2,1,1,1,1,1,2,0,0,0,0,0,,1,0,0,,FOUND
16,Amparo en revisión 51/2021,MEXx008,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/mex/2021/amparo_en_revision_512021.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,5,1,2,1,1,0,0,0,0,0,0,1,1,2,1,1,2,1,2,4,0,0,0,0,0,,2,0,0,,FOUND
17,"Case No. 20-0434, Supreme Court of Texas",USAx219,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2021/case_no._20-0434_supreme_court_of_texas.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,1,1,3,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,0,0,0,0,0,,2,0,0,,FOUND
18,[2021] EWHC 1370 (Admin),GBRx109,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2021/2021_ewhc_1370_admin.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,2,0,0,1,1,1,2,0,0,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,,1,0,0,,FOUND
19,Case of V.C.L. and A.N. V. The United Kingdom,IRBX034,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/_irb/2021/case_ofv.c.l.and_a.n._v._the_united_kingdom_.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,4,1,3,1,1,0,0,0,0,0,0,1,1,2,1,1,1,1,1,3,1,0,0,0,0,,2,0,0,,FOUND
20,S v Pretorius (CC 2/2018) [2020] NAHCMD 507,NAMx013,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nam/2020/s_v_pretorius_cc_22018_2020_nahcmd_507.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,0,0,0,0,0,,1,0,0,,FOUND
21,The Queen v Joseph Auga Matamata,x012,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nzl/2020/the_queen_v_joseph_auga_matamata.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,3,1,3,1,2,1,3,1,3,1,2,1,1,1,1,1,1,1,1,2,0,0,0,0,0,,1,0,0,,FOUND
22,The State v James Tungamirai Maroodza (R674/18),ZWEx008,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/zwe/2020/the_state_v_james_tungamirai_maroodza_r67418.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,,1,0,0,,FOUND
23,The Queen On The Application Of L v. The Director Of Public Prosecutions,GBRx093,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2020/the_queen_on_the_application_of_l_v._the_director_of_public_prosecutions.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,3,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,2,1,2,1,0,0,0,0,0,,1,0,0,,FOUND
24,S.M. v. Croatia,IRBx030,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/_irb/2020/s.m._v._croatia.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,2,1,2,1,1,1,2,1,3,1,1,1,1,1,1,1,2,1,2,2,1,0,0,0,0,,1,0,0,,FOUND
25,N° de pourvoi: 19-80372,FRAx013,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/fra/2020/n_de_pourvoi_19-80372_.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,3,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,1,0,0,,FOUND
26,"MS (Pakistan) v. Secretary of State for the Home Department, [2020] UKSC 9",GBRx092,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2020/ms_pakistan_v._secretary_of_state_for_the_home_department_2020_uksc_9.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,4,1,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,1,0,0,,FOUND
27,S v. Fatmata Kamara & Kadiatu Kargbo,SLE0001,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/sle/2020/s_v._fatmata_kamara_kadiatu_kargbo.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,3,1,1,1,3,1,3,1,1,1,3,1,1,1,1,1,2,1,2,4,1,0,0,0,0,,1,0,0,,FOUND
28,R. v. Antoine,CANx129,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/can/2020/r._v._antoine.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,0,0,0,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,1,0,0,,FOUND
29,R. v. Sinclair,CANx128,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/can/2020/r._v._sinclair.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,1,1,1,1,2,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,0,0,0,0,,1,0,0,,FOUND
30,Case No: CO/4466/2019; The Queen on the application of DS v. Secretary of State for the Home Department,GBRx090,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2019/case_no_co44662019_the_queen_on_the_application_of_ds_v._secretary_of_state_for_the_home_department.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,0,0,1,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1,0,0,,FOUND
31,The Police v. Harish Daswani,MLTx001,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/mlt/2019/the_police_v._harish_daswani.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,4,1,3,1,3,1,4,1,3,1,3,1,1,1,1,1,1,1,1,3,1,0,0,0,0,,1,0,0,,FOUND
32,Affaire T.I. et Autres c. Grèce,IRBx031,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/_irb/2019/affaire_t.i._et_autres_c._grece_.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,5,1,2,1,1,0,0,0,0,0,0,1,1,3,1,1,1,1,1,1,1,0,0,0,0,,2,0,0,,FOUND
33,Sentence 1081/2019,ITAx036,https://www.unodc.org/cld/case-law-doc/drugcrimetype/ita/2019/sentence_10812019.html,drugcrimetype,FOUND,1,1,1,1,en,1,4,1,2,1,1,1,4,1,2,0,0,1,1,2,1,1,2,1,2,6,1,0,0,0,0,,3,0,0,,FOUND
34,Proc. No. 12809/2019,ITAx035,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/ita/2019/proc._no._128092019.html,criminalgroupcrimetype,FOUND,1,1,1,1,en,1,2,1,3,1,2,1,1,1,5,1,1,0,0,0,1,1,3,1,3,9,1,0,0,0,0,,3,0,0,,FOUND
35,Querela nº 29/17,MOZ003,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/moz/2019/querela_n_2917.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,3,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,4,1,4,7,1,0,0,0,0,,2,0,0,,FOUND
