cohort_id,feature,source,analysis,category,value,denominator,percentage,unit,notes
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,primary_cohort,parser_v2,cohort_validation,included_cases,1263,1590,79.433962,cases,"Nonempty English Fact Summary and nonempty Legacy Acts, Means, and Exploitative Purposes; no Sidebar AMP used."
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,primary_cohort,ordered search_rank + canonical_url,cohort_identifier,membership_sha256,097ce2027171ebc9cac5ad6dfdbf6e854729f81a8ede78e8401086fe5d5ed48c,,,sha256,SHA-256 of UTF-8 lines '<search_rank>\t<canonical_url>\n' in ascending search_rank order.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,primary_cohort,parser_v2 JSONL,input_provenance,source_jsonl_sha256,ea0592fcb633a0eee55e5feacb02fc1ef119cfcbb0f594566b4da6420eb184df,,,sha256,
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement,participants.person_role,coverage,cases_with_section,1241,1263,98.258116,cases,
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement,participants.person_role,coverage,cases_without_section,22,1263,1.741884,cases,
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement,participants.person_role,structure,source_person_records,2892,,,records,
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement,participants.person_role,record_count_distribution,0,22,1263,1.741884,cases,
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement,participants.person_role,record_count_distribution,1,658,1263,52.098179,cases,
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement,participants.person_role,record_count_distribution,2_plus,583,1263,46.159937,cases,
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement,participants.person_role,grouped_records,grouped_source_records,323,,,records,
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement,participants.person_role,grouped_records,cases_with_grouped_record,295,1263,23.357086,cases,
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement,participants.person_role,visible_heading,Victims / Plaintiffs in the first instance,1238,,,sections,
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement,participants.person_role,visible_heading,Migrants,5,,,sections,
