cohort_id,manual_review_id,search_rank,case_title,country_or_jurisdiction,canonical_url,feature,sample_stratum,structured_reference_source,structured_reference_available,structured_reference_raw,provisional_policy_state,person_section_heading_raw,person_record_count,fact_summary_excerpt,human_feasibility_judgment,answerable_from_fact_summary,structured_narrative_case_type,ambiguity_reason,notes
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:21,21,The Queen v Joseph Auga Matamata,New Zealand,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nzl/2020/the_queen_v_joseph_auga_matamata.html,child_minor_involvement,clear_true_grouped,participants.person_role + trafficking_sidebar.offences,YES,"Participant: Nationality: Samoan Total number of victims: 13 (including 3 children) aged between 12 to 53 Returned- most victims were deported back to Samoa; Sidebar Offences: [""Trafficking in persons (adults)"", ""Trafficking in children (under 18 years)""]",TRUE,Victims / Plaintiffs in the first instance,1,"…, who retained the money. Some victims were given small amounts of money such as $10 or $20 a week. The first group comprised two victims, a brother and a sister aged 17 and 15 years, who came to New Zealand in 1994, prior to the enactment of the anti-trafficking law. The sister escaped and left New Zealand in 199…",TRUE,YES,TYPE_1,,"One DOM record represents 13 victims, including three children."
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:23,23,The Queen On The Application Of L v. The Director Of Public Prosecutions,United Kingdom of Great Britain and Northern Ireland,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2020/the_queen_on_the_application_of_l_v._the_director_of_public_prosecutions.html,child_minor_involvement,unknown_childcare_reference,participants.person_role + trafficking_sidebar.offences,YES,"Participant: Victim: Victim 1 Gender: Female Nationality: Filipino Victim 1 is a national of the Philippines. In March 2012, through an agency, she obtained employment for Mr & Mrs Aljaberi in Abu Dhabi, undertaking domestic and child…; Sidebar Offences: [""Trafficking in persons (adults)""]",UNKNOWN,Victims / Plaintiffs in the first instance,1,"…nes, obtained employment through an agency for Mr. & Mrs. Aljaberi in Abu Dhabi. Victim 1 performed domestic and childcare work from 7 am to 10 pm every day. Though the terms of her employment guaranteed US$400/month, Victim 1 was paid around US$200/month. Mr. Aljaberi obtained a diplomatic position at the United Ar…",UNKNOWN,NO,TYPE_2,"Children are members of the employer family, not trafficking victims; adult-only Sidebar tag is not accepted as exhaustive.",Childcare wording must not trigger TRUE.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:34,34,Proc. No. 12809/2019,Italy,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/ita/2019/proc._no._128092019.html,child_minor_involvement,sidebar_true_participants_absent,trafficking_sidebar.offences,YES,"Participant: SECTION_ABSENT; Sidebar Offences: [""Trafficking in persons (adults)"", ""Trafficking in children (under 18 years)""]",TRUE,,0,"…uman trafficking, torture, murder, sexual assault, enabling clandestine migration and kidnapping of hundreds of men, women and children in Libya. The three suspects were accused of forming an organized criminal group and using an abandoned military base as an illegal “prison” in Libya, where migrants were forcibly detained,…",TRUE,YES,TYPE_1,,No participant section; Sidebar child-offence tag and narrative agree.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:52,52,17/03852,Netherlands (Kingdom of the),https://www.unodc.org/cld/case-law-doc/moneylaunderingcrimetype/nld/2018/1703852.html,child_minor_involvement,sidebar_true_narrative_missing,trafficking_sidebar.offences,YES,"Participant: SECTION_ABSENT; Sidebar Offences: [""Trafficking in persons (adults)"", ""Trafficking in children (under 18 years)""]",TRUE,,0,…ms to Amsterdam. Second defendant was trafficked herself and in a relationship with lead trafficker since a young age. She herself participated in the exploitation of the victims by coercing victims to prostitution and extracting financial benefit for her and her partner (co-defendant). Just like the accus…,TRUE,NO,TYPE_2,Young age is vague and refers to a co-defendant who was formerly trafficked; victim ages are absent.,"Sidebar contains both adult and child offence tags, but the Fact Summary cannot ground the child label."
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:53,53,C.M.S. y Guillemet Gastón,Argentina,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2018/c.m.s._y_guillemet_gaston_.html,child_minor_involvement,clear_true_mixed_ages,participants.person_role + trafficking_sidebar.offences,YES,"Participant: Victim: Victim 1 (V) Gender: Female Nationality: Argentine Age: 14 Born: 1996 Victim: Victim 2 (M) Gender: Female Nationality: Argentine Age: 17 Born: 1993 Victim: Victim 3 (L) Gender: Female Nationality: Argentine Age: 19 Born: 1991 She is single, and mot…; Sidebar Offences: [""Trafficking in persons (adults)"", ""Trafficking in children (under 18 years)""]",TRUE,Victims / Plaintiffs in the first instance,3,"… December 2010 and the 4th January 2011, the two defendants captured and transported the 3 victims (2 minor girls and 1 young women) from the city of Chaco to the city of Buenos Aires, with the purpose of sexually exploiting them. The transport was done with the car of one of the defendants, and the ha…",TRUE,YES,TYPE_1,,Separate ages and narrative agree; case includes both minor and adult victims.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:77,77,Reyes v. Al-Malki and another,United Kingdom of Great Britain and Northern Ireland,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2017/reyes_v._al-malki_and_another.html,child_minor_involvement,unknown_childcare_reference,participants.person_role + trafficking_sidebar.offences,YES,"Participant: Victim: Ms. Reyes Gender: Female Nationality: Filipino; Sidebar Offences: [""Trafficking in persons (adults)""]",UNKNOWN,Victims / Plaintiffs in the first instance,1,"…eir London residence. Ms. Reyes’s duties included cleaning, helping in the kitchen at mealtimes and looking after the children. During this period, Mr. Al-Malki was a member of the diplomatic staff of the embassy of Saudi Arabia in London. The facts, as Ms. Reyes alleges, and which are not disputed by the Al-Malkis…",UNKNOWN,NO,TYPE_2,"Children are members of the employer family, not trafficking victims; adult-only Sidebar tag is not accepted as exhaustive.",No victim age evidence.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:79,79,Case A26/2014,South Africa,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/zaf/2017/case_a262014.html,child_minor_involvement,unknown_no_reference,participants.person_role,NO,Participant: Complainant: 3 Anonymous women Gender: Female Nationality: Mozambican; Sidebar Offences: [],UNKNOWN,Victims / Plaintiffs in the first instance,1,The appellant's version was that she met the three complainants on the beach near Maputo in Mozambique where the complainants worked as prostitutes. They told her that they wanted to work as prostitutes in South Africa. She then agreed to accommodate th…,UNKNOWN,NO,TYPE_4,"Neither structured person records nor Fact Summary state age, and Sidebar Offences is absent.",Woman terminology is not treated as explicit adulthood.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:146,146,Case n280515,North Macedonia,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/mkd/2015/case_n280515.html,child_minor_involvement,clear_true_grouped,participants.person_role + trafficking_sidebar.offences,YES,"Participant: Victim: 3 anonymous (between 14 and 16) Gender: Child Nationality: of the former Yugoslav Republic of Macedonia They were accommodated in the Centre for victims of trafficking in human beings; Sidebar Offences: [""Trafficking in children (under 18 years)""]",TRUE,Victims / Plaintiffs in the first instance,1,"When the three minors – victims of trafficking in human beings were kidnapped, they were forcedly tattooed with the names of the perpetrators and accommodated in their house, where they were under constant contr…",TRUE,YES,TYPE_1,,One grouped record clearly represents three minors.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:177,177,Calle Calle et. al.,Argentina,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2014/calle_calle_et._al..html,child_minor_involvement,structured_true_narrative_missing,participants.person_role + trafficking_sidebar.offences,YES,"Participant: … Nationality: Bolivian Victim: 14 adult female victims Gender: Female Nationality: Bolivian Victim: 4 child victims (age between 15 and 16) Gender: Child Nationality: Bolivian; Sidebar Offences: [""Trafficking in persons (adults)""]",TRUE,Victims / Plaintiffs in the first instance,3,"A criminal organization of 13 defendants recruited and transported at least 32 victims from Bolivia to Argentina, in order to exploit them at various weaving workshops. The recruitment was done in person, as well as through advertisements in the T.V. and the radio. As for the…",TRUE,NO,TYPE_2,Fact Summary never identifies any victim as under 18.,Adult-only Sidebar Offences is not exhaustive here; participant source explicitly includes four child victims.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:235,235,J.F. & another v Republic [2013] eKLR,Kenya,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/ken/2013/j.f._another_v_republic_2013_eklr.html,child_minor_involvement,disputed_age,participants.person_role,YES,Participant: Victim: J.F. Gender: Child The victim’s age was disputed in the appeal; Sidebar Offences: [],UNKNOWN,Victims / Plaintiffs in the first instance,1,"The victim accompanied K.M. (the 2nd appellant) to Gichegere to collect her shoes, which K.M. had taken away. They met with J.F. (the 1st appellant) on the way, and arrived at K.M.’s home at 7pm. Later in the eve…",UNKNOWN,NO,TYPE_2,Fact Summary contains no age; the structured source says age was disputed.,Do not convert Gender: Child to TRUE without the dispute qualifier.
