total_case_rank,jurisdiction_raw,total_cases,english_fact_summary_cases,english_fact_plus_complete_legacy_amp_cases,percentage_of_corpus,percentage_english_within_jurisdiction,percentage_complete_legacy_amp_within_jurisdiction
1,United States of America,192,191,160,12.075472,99.479167,83.333333
2,Brazil,132,131,103,8.301887,99.242424,78.030303
3,Philippines,88,87,73,5.534591,98.863636,82.954545
4,Argentina,85,85,75,5.345912,100.0,88.235294
5,Republic of Moldova,65,65,57,4.08805,100.0,87.692308
6,Romania,55,55,52,3.459119,100.0,94.545455
7,Slovakia,49,49,48,3.081761,100.0,97.959184
8,Belgium,41,31,24,2.578616,75.609756,58.536585
9,Colombia,40,40,38,2.515723,100.0,95.0
10,Serbia,40,38,36,2.515723,95.0,90.0
11,United Kingdom of Great Britain and Northern Ireland,36,36,24,2.264151,100.0,66.666667
12,India,33,33,26,2.075472,100.0,78.787879
13,Sweden,33,32,31,2.075472,96.969697,93.939394
14,Czechia,31,31,30,1.949686,100.0,96.774194
15,Poland,26,25,21,1.63522,96.153846,80.769231
16,Canada,25,25,22,1.572327,100.0,88.0
17,Italy,24,23,12,1.509434,95.833333,50.0
18,Australia,23,23,20,1.446541,100.0,86.956522
19,Ukraine,21,21,21,1.320755,100.0,100.0
20,Israel,19,19,18,1.194969,100.0,94.736842
21,Albania,18,18,16,1.132075,100.0,88.888889
22,France,18,17,13,1.132075,94.444444,72.222222
23,Jordan,18,18,10,1.132075,100.0,55.555556
24,South Africa,17,17,12,1.069182,100.0,70.588235
25,Azerbaijan,16,16,7,1.006289,100.0,43.75
26,Denmark,15,15,15,0.943396,100.0,100.0
27,Nigeria,14,14,12,0.880503,100.0,85.714286
28,Thailand,14,14,13,0.880503,100.0,92.857143
29,Egypt,13,13,4,0.81761,100.0,30.769231
30,Norway,13,13,13,0.81761,100.0,100.0
31,Finland,12,12,12,0.754717,100.0,100.0
32,Indonesia,12,12,9,0.754717,100.0,75.0
33,International and Regional Bodies,12,12,7,0.754717,100.0,58.333333
34,Oman,12,12,11,0.754717,100.0,91.666667
35,Cambodia,11,11,8,0.691824,100.0,72.727273
36,Russian Federation,11,10,8,0.691824,90.909091,72.727273
37,Türkiye,11,11,9,0.691824,100.0,81.818182
38,Bulgaria,10,10,9,0.628931,100.0,90.0
39,Kenya,10,10,5,0.628931,100.0,50.0
40,Netherlands (Kingdom of the),10,10,10,0.628931,100.0,100.0
41,North Macedonia,10,10,8,0.628931,100.0,80.0
42,Spain,9,9,4,0.566038,100.0,44.444444
43,Guatemala,8,8,3,0.503145,100.0,37.5
44,Bolivia (Plurinational State of),7,7,2,0.440252,100.0,28.571429
45,Bosnia and Herzegovina,7,6,4,0.440252,85.714286,57.142857
46,China,7,7,6,0.440252,100.0,85.714286
47,El Salvador,7,7,6,0.440252,100.0,85.714286
48,Estonia,7,5,5,0.440252,71.428571,71.428571
49,Peru,7,7,0,0.440252,100.0,0.0
50,Switzerland,7,6,5,0.440252,85.714286,71.428571
51,Armenia,6,6,6,0.377358,100.0,100.0
52,Austria,6,6,5,0.377358,100.0,83.333333
53,Chile,6,6,5,0.377358,100.0,83.333333
54,Greece,6,6,2,0.377358,100.0,33.333333
55,Hungary,6,6,5,0.377358,100.0,83.333333
56,Malawi,6,6,1,0.377358,100.0,16.666667
57,Mongolia,6,6,5,0.377358,100.0,83.333333
58,Nicaragua,6,6,6,0.377358,100.0,100.0
59,Singapore,6,6,2,0.377358,100.0,33.333333
60,Viet Nam,6,6,5,0.377358,100.0,83.333333
61,Georgia,5,5,5,0.314465,100.0,100.0
62,Jamaica,5,5,5,0.314465,100.0,100.0
63,Lithuania,5,5,4,0.314465,100.0,80.0
64,Malaysia,5,5,1,0.314465,100.0,20.0
65,New Zealand,5,5,3,0.314465,100.0,60.0
66,Dominican Republic,4,4,4,0.251572,100.0,100.0
67,Germany,4,4,2,0.251572,100.0,50.0
68,Kazakhstan,4,4,4,0.251572,100.0,100.0
69,Namibia,4,4,3,0.251572,100.0,75.0
70,Portugal,4,4,4,0.251572,100.0,100.0
71,Tajikistan,4,4,4,0.251572,100.0,100.0
72,Zambia,4,4,0,0.251572,100.0,0.0
73,Belarus,3,3,3,0.188679,100.0,100.0
74,Belize,3,3,1,0.188679,100.0,33.333333
75,Costa Rica,3,3,3,0.188679,100.0,100.0
76,Fiji,3,3,3,0.188679,100.0,100.0
77,Japan,3,3,2,0.188679,100.0,66.666667
78,Lesotho,3,3,2,0.188679,100.0,66.666667
79,Mauritius,3,3,2,0.188679,100.0,66.666667
80,Mexico,3,3,2,0.188679,100.0,66.666667
81,Mozambique,3,3,1,0.188679,100.0,33.333333
82,Panama,3,3,1,0.188679,100.0,33.333333
83,Uganda,3,3,0,0.188679,100.0,0.0
84,Bangladesh,2,2,2,0.125786,100.0,100.0
85,Croatia,2,1,1,0.125786,50.0,50.0
86,Eswatini,2,2,2,0.125786,100.0,100.0
87,Luxembourg,2,2,2,0.125786,100.0,100.0
88,Malta,2,2,1,0.125786,100.0,50.0
89,Nepal,2,2,0,0.125786,100.0,0.0
90,Niger,2,2,1,0.125786,100.0,50.0
91,Paraguay,2,2,2,0.125786,100.0,100.0
92,Republic of Korea,2,2,1,0.125786,100.0,50.0
93,Uzbekistan,2,2,2,0.125786,100.0,100.0
94,Zimbabwe,2,2,0,0.125786,100.0,0.0
95,Botswana,1,1,0,0.062893,100.0,0.0
96,Brunei Darussalam,1,1,0,0.062893,100.0,0.0
97,Cameroon,1,1,0,0.062893,100.0,0.0
98,Ecuador,1,1,1,0.062893,100.0,100.0
99,Iceland,1,1,1,0.062893,100.0,100.0
100,Ireland,1,1,0,0.062893,100.0,0.0
101,Latvia,1,1,1,0.062893,100.0,100.0
102,Lebanon,1,1,0,0.062893,100.0,0.0
103,Marshall Islands,1,1,1,0.062893,100.0,100.0
104,Micronesia (Federated States of),1,1,0,0.062893,100.0,0.0
105,Morocco,1,1,0,0.062893,100.0,0.0
106,Palau,1,1,1,0.062893,100.0,100.0
107,Seychelles,1,1,1,0.062893,100.0,100.0
108,Sierra Leone,1,1,1,0.062893,100.0,100.0
109,Slovenia,1,1,1,0.062893,100.0,100.0
110,Sri Lanka,1,1,1,0.062893,100.0,100.0
111,Togo,1,1,0,0.062893,100.0,0.0
112,Tonga,1,1,1,0.062893,100.0,100.0
113,Uruguay,1,1,0,0.062893,100.0,0.0
114,Vanuatu,1,1,0,0.062893,100.0,0.0
115,Venezuela (Bolivarian Republic of),1,1,1,0.062893,100.0,100.0
