search_rank,canonical_url,jurisdiction,word_count,modernbert_token_count_with_special_tokens,tokenizer_model_id,tokenizer_revision,fully_covered_at_512,fully_covered_at_1024,fully_covered_at_1536,fully_covered_at_2048,fully_covered_at_3072,fully_covered_at_4096,fully_covered_at_8192
13,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/aze/2021/case_of_zoletic_and_others_v._azerbaijan.html,Azerbaijan,226,282,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
17,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2021/case_no._20-0434_supreme_court_of_texas.html,United States of America,265,334,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
20,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nam/2020/s_v_pretorius_cc_22018_2020_nahcmd_507.html,Namibia,196,252,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
21,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nzl/2020/the_queen_v_joseph_auga_matamata.html,New Zealand,453,548,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
23,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2020/the_queen_on_the_application_of_l_v._the_director_of_public_prosecutions.html,United Kingdom of Great Britain and Northern Ireland,390,523,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
24,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/_irb/2020/s.m._v._croatia.html,International and Regional Bodies,475,568,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
27,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/sle/2020/s_v._fatmata_kamara_kadiatu_kargbo.html,Sierra Leone,91,126,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
28,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/can/2020/r._v._antoine.html,Canada,264,303,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
29,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/can/2020/r._v._sinclair.html,Canada,345,397,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
31,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/mlt/2019/the_police_v._harish_daswani.html,Malta,173,213,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
34,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/ita/2019/proc._no._128092019.html,Italy,284,343,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
37,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2019/united_states_of_america_v._anthony_donte_collier_932_f.3d_1067_no._18-1025.html,United States of America,411,515,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
38,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nam/2019/s_v._jonas_cc142017.html,Namibia,392,467,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
39,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/ita/2019/sentence_n._8832019.html,Italy,274,343,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
41,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/deu/2019/513_kls_255_js_63718_3818.html,Germany,415,563,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
44,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/deu/2019/513_kls_255_js_63718_3818_trb_1.html,Germany,401,533,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
46,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bel/2019/appeal_of_the_court_of_first_instance_of_liege_2019858.html,Belgium,736,874,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
50,https://www.unodc.org/cld/case-law-doc/migrantsmugglingcrimetype/lux/2019/arret_n_3419_x.html,Luxembourg,676,800,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,0,1,1,1,1,1,1
52,https://www.unodc.org/cld/case-law-doc/moneylaunderingcrimetype/nld/2018/1703852.html,Netherlands (Kingdom of the),226,282,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
53,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2018/c.m.s._y_guillemet_gaston_.html,Argentina,145,180,answerdotai/ModernBERT-base,8949b909ec900327062f0ebf497f51aef5e6f0c8,1,1,1,1,1,1,1
