field,source,raw_label,case_count,available_case_denominator,percentage_among_available,frequency_rank,candidate_alias_flag,candidate_alias_group,candidate_alias_reason,candidate_alias_labels
Act,Legacy,Recruitment,1112,1404,79.202279,1,true,ACT_CANDIDATE_01,short token-subset or slash-expansion candidate,Recruitment | Recruitment/Hiring
Act,Legacy,Transportation,905,1404,64.458689,2,false,,,
Act,Legacy,Harbouring,648,1404,46.153846,3,false,,,
Act,Legacy,Transfer,532,1404,37.891738,4,false,,,
Act,Legacy,Receipt,374,1404,26.638177,5,false,,,
Means,Legacy,Abuse of power or a position of vulnerability,797,1319,60.424564,1,false,,,
Means,Legacy,Deception,695,1319,52.691433,2,false,,,
Means,Legacy,Threat or use of force or other forms of coercion,684,1319,51.857468,3,true,MEANS_CANDIDATE_01,high surface-string similarity candidate,Threat of the use of force or of other forms of coercion | Threat or use of force or other forms of coercion | Use of force or of other forms of coercion
Means,Legacy,Fraud,319,1319,24.184989,4,false,,,
Means,Legacy,Giving or receiving payments or benefits to achieve the consent of a person having control over another person,148,1319,11.220622,5,false,,,
Means,Legacy,Abduction,124,1319,9.401061,6,false,,,
Purpose,Legacy,Exploitation of the prostitution of others or other forms of sexual exploitation,1123,1412,79.532578,1,false,,,
Purpose,Legacy,Forced labour or services,267,1412,18.909348,2,false,,,
Purpose,Legacy,Servitude,82,1412,5.807365,3,false,,,
Purpose,Legacy,Other,73,1412,5.169972,4,false,,,
Purpose,Legacy,Slavery or practices similar to slavery,68,1412,4.815864,5,false,,,
Purpose,Legacy,Removal of organs,15,1412,1.062323,6,false,,,
Act,Sidebar,Recruitment/Hiring,274,365,75.068493,1,true,ACT_CANDIDATE_01,short token-subset or slash-expansion candidate,Recruitment | Recruitment/Hiring
Act,Sidebar,Harbouring,193,365,52.876712,2,false,,,
Act,Sidebar,Transportation,189,365,51.780822,3,false,,,
Act,Sidebar,Transfer,124,365,33.972603,4,false,,,
Act,Sidebar,Receipt,88,365,24.109589,5,false,,,
Act,Sidebar,Buying/Purchasing/Selling,34,365,9.315068,6,false,,,
Act,Sidebar,Organizing and directing other persons,30,365,8.219178,7,false,,,
Act,Sidebar,Participating as an accomplice,20,365,5.479452,8,false,,,
Means,Sidebar,Abuse of power or a position of vulnerability,183,326,56.134969,1,false,,,
Means,Sidebar,Threat of the use of force or of other forms of coercion,181,326,55.521472,2,true,MEANS_CANDIDATE_01,high surface-string similarity candidate,Threat of the use of force or of other forms of coercion | Threat or use of force or other forms of coercion | Use of force or of other forms of coercion
Means,Sidebar,Deception,166,326,50.920245,3,false,,,
Means,Sidebar,Fraud,58,326,17.791411,4,false,,,
Means,Sidebar,Giving or receiving payments or benefits to achieve the consent of a person having control over another person,27,326,8.282209,5,false,,,
Means,Sidebar,Abduction,13,326,3.98773,6,false,,,
Means,Sidebar,Use of force or of other forms of coercion,8,326,2.453988,7,true,MEANS_CANDIDATE_01,high surface-string similarity candidate,Threat of the use of force or of other forms of coercion | Threat or use of force or other forms of coercion | Use of force or of other forms of coercion
Purpose,Sidebar,Exploitation of the prostitution of others or other forms of sexual exploitation,263,348,75.574713,1,false,,,
Purpose,Sidebar,Forced labour or services,88,348,25.287356,2,false,,,
Purpose,Sidebar,Servitude,22,348,6.321839,3,false,,,
Purpose,Sidebar,Slavery or practices similar to slavery,21,348,6.034483,4,false,,,
Purpose,Sidebar,Removal of organs,6,348,1.724138,5,false,,,
Purpose,Sidebar,Forced begging,1,348,0.287356,6,false,,,
Purpose,Sidebar,"Forced criminality (e.g. theft, pickpocketing, etc.)",1,348,0.287356,6,false,,,
